id,post_time,post_text,Urgency_1_7
378,1379316785,"I am taking this class since it is an introductory class but it appears that many, including the instructor, assumes knowledge of many of the terms.For example: what is the definition of stockholders equity? Not as part of an equation, but what is it??To me I am thinking stockholders own the assets of a company. Why are assets not stockholders equity and visa versa?Do I need an intro class to the intro class?The instructor also just starts using ""contributed capital"" and ""prior retained earnings"". I do not know what these are.Am I alone?",6
6220,1380969645,"Hi [REDACTED]!I am not sure I understood well your question. I will give it a try. (Here we will go a bit off topic.)  Be careful not to mix Accounting with Finance! They both manage the money of the company, but they have different role in the management.  1. Inventory is: ''The raw materials, work-in-process goods and completely finished goods that are considered to be the portion of a business's assets that are ready or will be ready for sale.'' When we sell the goods the inventory becomes an expense. 2. ''Inventory represents one of the most important assets that most businesses possess, because the turnover of inventory represents one of the primary sources of revenue generation and subsequent earnings for the company's shareholders/owners.'' Think what is happening when we hold too much/too little of inventory with the revenue and the earnings. PS. I used the Investopedia for the '' '' , cause I was not 100% sure if I can explain it well with my English. By the way, starting with Accounting classes is a very good idea.Accounting is the language of business, and the heart of business. Accounting is the preparation of accounting records - preparation, analyzing, and the interpretation of financial statements. Finance involves making decisions regarding working capital issues such as level of inventory, cash holding, credit levels, risk management, investment portfolios and etc. For all those decisions finance managers use accounting reports. Let me look in google for better explanation. Here is the one:http://www.differencebetween.info/difference-between-accounting-and-finance",2
3524,1379998736,"Hello everyone! Am [REDACTED], 5 had a great passion to do Accounting and FInance, so here I am..",1
5766,1380756481,Why is the item highlighted in red under 'Cash from Operations?' ,4
2428,1379641012,"Hello! For the investment section of the cash flow statement, how long does the lifespan of an asset have to be in order to be considered a long-term as opposed to a short-term asset? I know equipment and buildings are to be considered long-term but is there a standard? ",5
2663,1379714865,"Hello,I would like to know if the arises in Stockholders equity (from sale of shares or from operations) are not considered as a revenues for the opposite reason explained by our professor. In the video (17:39) it's mentionned that ""Divedends are viewed as a discretionary decision by the board of directors to decide to return some funds to shareholders that is independent of what's going on with the business"".Could we say too that The return of some funds to shareholders are not considered as an expense because the arise in capital are not considered as a revenue ? ",5
8522,1382557210,"If you review the course deck or the video carefully, you'll find full explanation abt these jargon. Since we're studying accounting in this regard, it'd better to talk like a insider.",1
1190,1379399875,Hello!My name is [REDACTED]. I am from [REDACTED].I have a background of accounting. I want to refresh and improve my knowledge of accounting and also I want to improve my English language skills.,1
1772,1379491200,"Hi guys, nice to meet you all.",1
6726,1381210528,"Interested! I didn't know that any
course can contribute to PDU. Please let me know what the answer from your
certificate agency is.

",2
1015,1379370532,Hello Everyone! I am [REDACTED] from [REDACTED]. During my MBA program I've taken Accounting courses. I really enjoyed the courses. In this course I wanted to learn more about the Financial Accounting which will help me to gain more skills/experience from my work. ,1
