id,post_time,post_text,Urgency_1_7
1423,1409992295,http://[REDACTED]Â voila! :),1
5490,1412012099,"[REDACTED],As I understand it the transaction recorded during the period in question would be:Dr. Accounts Payable (-L) Â  Â 400Â  Â  Cr. Cash (-A) Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  400So... how do you interpret the question. Option 1 is to posit that the inventory transaction doesn't show up because the transaction is cash and accounts payable. Option 2: However, the cash contribution to the SCF will decrease during that period (based upon payment of a prior inventory sale) because that transaction debits a $400 liability with cash. Even looking at the income statement which would subtract cash (credit a debit account) and also subtract accounts payable (debit a credit account), when translating this to the SCF you would credit the Accounts Payable account in the SCF ledger to recognize that the cash was deducted from the cash debit account.My guess, although I didn't have that question, would be to pick the second interpretation, i.e. how did it affect the SCF ledger, as it conforms more closely with the 'spirit of the week's lectures'. The interpretation of the intent of the question here would be to draw a distinction between the Income Statement and the Statement of Cash FlowsI'm having problems interpreting the intent of some of the questions on the quizes as well Â :(",5
4550,1411323198,Here is one link for Accounting training !Â http://www.accountingcoach.com/Enjoy !,1
9441,1416326047,Ok! Great news! Thanks a lot!,1
8149,1414706580,"At least 70% overall to pass, and higher than 90% to get distinction.",1
4759,1411428383,Burn Out Car ???or maybeÂ ... [REDACTED] On Coursera ???,1
7740,1414157315,"I understand the correct answer,but my question is why do we assume semiannual payments and take only half. The question does not say if payments are annual or semiannual.Thank you",4
2687,1410421251,"I think I understood the explanation given by the Professor (and by [REDACTED]), but i still have a question. Why is dividend payable being a claim on the company assets by the company owners/shareholders (and not the debtors) be a part of SE? What I mean is why not the below?Dividends declared but not yet paid:Dr. Retained Earnings (-SE)Â  Â Cr. Dividends Payable (+SE)then, when cash is paid..Dr.Â Dividends Payable (-SE)Â  Â Cr. Cash (-A)all that also makes me think - Is contributed capital equal to market cap of a company? what is the impact if any of declaring dividends on market cap/share prices? May be I am overthinking a bit here!!",5
3997,1410935766,Over here! [REDACTED] based. You?,1
6015,1412514878,I have a 3.6 (1st) and a 9.8 (2nd) for your two attempts on homework 4.,1
4490,1411274037,"Anonymous thanks Anonymous for the clarification. I will see how I do on the first and second tests and then decide whether to join the track or not. Professor [REDACTED] has done a good job of injecting humor into what could otherwise be quite a dull subject. Though I passed financial control and accounting doing my MBA some years ago, I am still not confident of passing this course. ",3
8457,1415106709,"Problem: Â information omittedAdditional details: This isn't an error but an enhancement request. Could you add deck number (n.n) and slide number to the PDFs? If they are made in PowerPoint, it's easy to add this using the header/footer template on the master slide. (I've never used it, but I assume Keynote etc. can do this too.) The motivation for this request was thatÂ I started printing one of the slide decks, and walked away. The pages jumped the printer outtray, and ended up on the floor. It took a while to resort them. Â :-(Thanks for a great course! From now on, whenever I read the phrase ""par value"" it will have a French accent in my inner ear!",5
7162,1413537958,"semi-annual is the convention. if it were to be otherwise, the problem will specifically mention it such as annual, quarterly.",1
1096,1409920529,"I double checked it, and you were hearing it wrong. Â Here is what I said (from the transcript):""We'll again use the completeÂ balance sheet equation, butÂ now we'll split assets into cash andÂ non-cash assets.Â So we know that expenses went up by 60,Â everything else is unchanged except forÂ cash.Â Now notice on the right-handÂ side of the equation,Â expenses going up by 60 meansÂ the right-hand side goes down by 60,Â which means the cash also has to goÂ down by 60 for us to stay in balance.""",3
25,1409764781,"I am sorry that I am from [REDACTED], are there any Chinese taking thisÂ  class?",1
7251,1413600325,"I like his joke. especially for non-english speaker, very funny.",1
6854,1413309171,"Go to the front page of your ""Dashboard"" at the bottom right hand of the course you should see ""unenroll"" in blue.",1
8229,1414852432,"I think there is a mistake in yours explanation...If your tax payable is greater than tax expense, so you create an asset (Dr. DTA). It is like a Saving for the future.",1
4263,1411086093,"As the question, the companyÂ sold $500 of inventory. Should this item include in operating section. The question didn't say the company receive the $500 in cash, might beÂ receivable.Â THX",5
9219,1416201595,"I agree that the SCF was the most difficult. Not many people other than equity analysts focus on the SCF in their daly life even if they are in finance.Professionally as an actuary I'm very focused on balance sheets holding proper present values of future liabilities, accounts receivable and payable etc. Also there are many timing differences between state insurance regulatory accounting, GAAP accounting and Tax Accounting so I have had lots of experience with temporary and permanent differences and DTAs and DTLs. All of this tends to focus on the Balance Sheet over the SCF.Also in finance your products are financial contracts so there is no inventory like a retailer of hard goods so all the LIFO and FIFO stuff is not very important. So this was more challenging.",2
6497,1412968726,"I think the retail Â store, like the Amazon phone is a loss leader!! Neither are intended to make money. They are intended to improve brand recognition and to promote their channel products like Amazon Prime! Like Apple, Amazon understands the true value is in the underlying ecosystem, e.g. movie rentals, push promotions, market analytics, ...",1
5111,1411670162,Thanks a lot for showing ur inerest. I have created a group on fb for 2015.we will tryo cover the course by may 2015and then a month for practce. we will rerun the course from july and finish by nov for dec batch.[REDACTED],1
4838,1411466990,"EBITDA is another way to measure the performance of a company's core business. Operating CF includes interest and taxes. It could be argued that these are not part of the core performance of a business: Next year the company could refinance and get better interest rates or hire a clever tax accountant and pay less taxes.Operating CF also does not include depreciation and amortization. If the company intends to perform on the same level in the future, it will have to replenish its resources and spend cash for that.So you could argue that EBITDA is a good approximation of the cash flow related to the core business. If it really is a good measure, well you have to decide for yourself. There are lots of different opinions on that.Best regards, [REDACTED]",2
5747,1412198948,"Hi [REDACTED],Thank you for writing to us. We are sorry about the inconvenience you have experienced. Due to technical problems of our site, we have removed the late penalty for your Homework #3 and you are now getting full credit. Let us know if you have further questions!Happy learning!",1
3090,1410557124,Also to me q2 and q5 appear almost same .. What is experience of the forum,4
3851,1410852232,Matching principle is used to relate product costs to the revenue. Is the principle applied for period costs also? An example where a period cost can't be matched with revenue in a period.Â Thank you.Â ,4
5790,1412255917,"I am in technology field and never touched financial accounts after completingÂ  high school in 1996. Going through this course afterÂ  many years , has made me so excited that I commit my time each week and ensure assignments are submitted. Thanks Professor [REDACTED].",1
8009,1414465764,"I just thought it was a little faulty logic to convert 1980 dollars to find gas prices in 2011 dollars. A lot of inflation is CAUSED by rising gas prices. In other words, the gas price seems stable in terms of inflation because we make it that way.Â Inflation has always been a manipulated number to keep prices relatively consistent over time. And interest rates have been interpreted to mean many different things, since they are perhaps the single largest underlying market in the economy.I know this is typical accounting. But economic mechanisms and the accounting that allows their continued existence during the ""BOOM"" times have been largely shown to be smoke in mirrors. The illusion lasts for a time, but ultimately this fails. It's too big not to.",2
678,1409836483,"Feel free to connect if you have anÂ interest in life sciences, pharmaceutical/biotech industry, or in equity research (buy or sell side).Â [REDACTED]",1
829,1409859117,"For students from [REDACTED] particularly, I have created a Facebook
Group [REDACTED]
MOOCers Â where community from
online learning can continue discussion, find opportunity for knowledge
Exchange or even getting offline education. Request you to join this group",1
6057,1412540133,Thanks a lot [REDACTED]!,1
7489,1413834747,"Problem: WithdrawURL: [REDACTED]Browser: Firefox 32OS: Mac OS X 10.8Additional details: How do I dropped from this course, An Introduction to Financial Accounting?",5
3449,1410718126,i agree,1
8733,1415586320,"Most if not all of TOS, some of TNG, a few of DS9, and none of the others. I would still watch TOS when I happen upon it. So, TOS is my first choice.Add original Twilight Zone, Outer Limits, Original Battlestar Galactica, and Doctor Who (up to the 10th Doctor, 11th annoyed me for some reason, haven't seen 12th yet.)",2
6183,1412644905,"thanks a lot, [REDACTED]",1
8887,1415741268,Congratullations Professor [REDACTED]. This was an amazing course and you make it easy and funny (taking into account the matter...)Thank you very much!!!,1
9024,1415922296,"Thank you Professor  [REDACTED]!! What a great course.  I have taken many Coursera courses and this is one of the most informative and well presented yet.  You have a great skill in presenting and communicating the information to the student.  I love the animate characters as well. You provide a valuable service for students like me who are ""refreshing"" their knowledge from years past.  Thanks again!!",1
7794,1414238197,"I did the calculation of PV in Excel, but I got 9751.87, not 9729,which was shown in the video.The funciton and results are shown in the Pics. Could anyone please tell me where did I go wrong?",4
701,1409839291,where is the material provided by the course ?,5
9838,1417966580,Nope [REDACTED],1
7803,1414250305,"I understand the correct answer,but my question is why do we assume semiannual payments and take only half. The question does not say if payments are annual or semiannual.Thank you",5
6537,1413044864,"i am working on a ratios of a company in theÂ construction industry.the company has very low inventory level (2%, 1% Â &amp; 2% in 2011, 2012 &amp; 2013Â respectively) but high volume of ""Costs and estimated earnings, net in excess of billings onÂ uncompleted contracts"" andÂ Billings in excess of costs and estimated earnings, net onÂ uncompleted contracts"" which are common terms in theÂ construction industry.does any one know if i can treat those elments as part of the inventory? in some sense they are same... because the company is getting the money in advence to buy the materils she needs for her business to the custemor....thanks",4
1582,1410035855,"I've been using Google Docs and Spreadsheets during this course. I'm not even taking notes like I did in University, but typing some things out. It makes a huge difference.",1
3293,1410663458,Hi! Could anyone please help direct me to where the slides are for download? I'm clicking on the all the links but it's not working on my end. Thank you!,5
3646,1410775877,"One's Eastern Time, the other's Pacific.",1
1182,1409933892,"HI [REDACTED] ,Â That's a brilliant idea . Please do add me as well .Â Thank youÂ [REDACTED]Regards[REDACTED]",1
170,1409769721,"Hello, I am an Planning Analyst from [REDACTED], and I'm looking forward to start the course[REDACTED]",1
6284,1412715230,"Sorry, if I allowed personal exemptions, I would spend my entire day reseting scores. Â Try to build in more slack before the deadline next time.",1
3644,1410774790,"I choose this item as the asset and it went wrong.Â All ""Pre-paid"" balances on the Debit side right?But what does insurance fee belong to?Â ",4
9802,1417180281,"The last two weeks I feel I'm missing something ...Â I had taken the pace of the course as part of my routine.Â Professor [REDACTED]Â questions: When have available the next level of this course, for example: Advanced Accounting?",6
7997,1414454020,Are these Unrealized gains or losses on bonds considered trading securities?,4
9082,1416004836,"Thank you professor, this is one of a best courses I have followed and gained so much knowledge.Even I have't seen you face to face, still its bit sad to believe that I won't learn from you again. I really enjoy your jokes and it was fun to study with you. I could gain more than 90 as the overall Â score, Thanks for your effort.",1
489,1409803221,Good Idea ..Â Thanks admin !!,1
8085,1414619960,"[REDACTED], short of enrolling at [REDACTED], are there any resources (texts, web sites, etc.) you would recommend for gaining more insight into the strategic issues of accounting (choosing between methods and making other decisions that are subject to management's discretion)?",4
7296,1413648753,"Hi everyone,Thanks for letting us know!Iâ€™ll bring this problem to the attention of the appropriate team member. We should be able to give you an update in a few days. Thanks for your patience!",1
9132,1416080685,got 89.2. Dont know if that shall be enough for distinction.Last exam was tough . After carefull attempt too could not cross 11 in part 1.Well anyway enjoyed learning,3
1593,1410038827,"I feel like this is a trick question/option:Â Which of the following transactions violates the balance sheet equation? (check all that apply)&gt; Reduce cash and reduce an expenseYou know, i'm doing the assignment right now. and intuitively this should make sense, because on both sides of the Super T-account there is a reduction. BUT IS THIS A TRICK QUESTION? Can you reduce an expense? I mean, don't expenses just add, how does expense reduce? Or I haven't seen an example yet, where okay you pay for something and it lessens an expense?",5
5203,1411738068,"Long time-reader, first-time poster here.The discussion about how to account for the euphemistic ""non-revenue sales"" (AKA theft) and the write-down of inventory to fair market value prodded me to think about the accounting treatment for other scenarios where product spoils without making its way to a sale. I'm not sure I have a question here; I'm more summarizing some scenarios to ensure I have the right intuition.Some examples include:1. Raw materials or products that expire prior to sale.2. Zero yield of a manufacturing process...say an entire vat of ketchup is unintentionally purple and thus must be disposed of (because my marketing team wasn't creative enough to call purple a feature and charge a premium for it).Â  Â - I assume in both cases we Dr. COGS &amp; Cr. Inventory for the entire amount to write the assets off.3. Poor yield of a manufacturing process...say I invest the resources to otherwise produce 1000 goods, but 950 are defective, so I have effectively produced 50 very expensive goods for the price of 1000. (Not uncommon in semiconductor manufacturing, for instance.)Â  - I assume this is similar to the above, but instead of an adjustment writing off the entire batch, we write off a portion of it using the same Lower-of-Cost-or-Market method, but the FMV is this time a value greater than zero (as above), but less than the Historical Cost.The net of all these transactions is that there is no affect on LIFO vs FIFO (since I won't have any artificially high-priced inventory, courtesy of the Lower-of-Cost-or-Market) treatment. In short, we take ""the hit"" for the poor yield or expired inventory right in the quarter it is discovered so that quarter's COGS is higher than it would otherwise be and earnings suffer.This begs the question...what controls are typically in place to ensure a company's management doesn't willfully ""fail to discover"" the expired inventory so they can keep earnings up?Is my intuition basically sound on the above?",4
9333,1416270535,"I think that I was the oldest person in your course, and having been in the education field during 27 years, as a professor at the [REDACTED] in [REDACTED], I can congratulate you forÂ being such a great professor, capable of getting the students'Â total attention, through your knowledge and charisma. It was a very interesting course, and I learned andÂ enjoyed it from the moment your explained to us why we should still have to study debits and credits, the course content, the company of our virtual classmates, until the moment you sang the Hokey Pockey song, which I never heard before.Â I would like to tell you, that my main problem was to understandÂ the questions in English, and after then, I put my English in, I put my Spanish out, I put my English in, and shook it all about. Thank you Professor [REDACTED]. [REDACTED].",1
4113,1411016909,Revenues are a flow; assets are a stock.,1
1235,1409944823,"It looks like the next video in the series will answer my question, so I deleted my posts.Â  Sorry for bothering everyone, I guess I should have continued on :)",1
4868,1411480822,"Hello Everyone:I just signed up for the Signature Track. I was surprised that the notification on the top of the course page says there are two more days to sign up for the Signature Track but the sign-up process said that the Photo ID and personal picture needed to be submitted by Sept. 23, which is today.I don't know if that's a mistake on Coursera's part yet if you're planning to do the Signature Track it might be easier to simply sign up today rather than waiting a couple days so as to avoid any hiccups.Thanks again for offering the course, Dr. [REDACTED].",5
6763,1413238892,"http://www.wired.com/2014/10/ebitda-enterprise-innovation/At least according to Wired.Â  My only experience w/ the term is this course, so my impression was more ""here's an important number, but there's lots of things you should consider when evaluating a company..etc"".Â  The article makes it sound like its the holy grail of financial numbers.Also, for some reason I read all the quotes in the virtual students' voice which was difficult to explain to my wife why I was laughing.",2
1736,1410090346,"I believe these should appear in the balance sheet to know the position of the company at a specific time.Income statement only shows how good the operation is by knowing how much the expenses are covered regardless of where the money come from.Anyone, correct me if I am wrong.",3
8297,1414948045,"I totally agree, the questions focus on what is in the videos, all the answers for the quizzes are available from the slides and sometimes have to go back and replay the video for information or go through the text file provided along with the video files, I think Prof.[REDACTED] has taken online education to a whole new level. He may not be awarded Stock Options or RSU's as a professor, but the amount of Goodwill he has earned through this course which is not reversible will create a permanent difference with any billionaire...:)",2
3241,1410637647,"Hello, everyone!Â I guess as many of you, I have a full time job and these days I work on average Â 10 hours a day ( but quite often 12, plus weekends). I really like the course and quite committed to complete it, though i have problems finding time for studiying. As I see many ""students"" are already on Week 2, I ve just completed Â the Homework 1.Â So, when and how do you find time for watching the videos and studying?Â I cant do it at the office, as i am very busy with my work.Â ",4
1369,1409973592,"Thank-you Professor for making Financial Accounting fun.Â  I just love the virtual students, cheeky devils.I look forward to the rest of the course.[REDACTED] ",1
5319,1411861848,Great...thanks for validating!,1
3841,1410842094,Hi Anon. Follow below method for practice:https://class.coursera.org/accounting-002/forum/thread?thread_id=499,1
775,1409849099,"Hello, everyone! 
My name is [REDACTED] and I'm very exited to take this course as it my first coursera course. I would like to start an online study group so we can learn and discuss  the course material together and also keep each other motivated. 
My time zone is UTC + 6, I think it's quite an important to factor to keep in mind. So far weekends suit me the most as I'm quite busy at work during the week, anyway we can discuss it. 
 Please comment if you would like to join me! Then we could decide which platform we could use for our online group meetings. 
A little bit about my background 
I've just started my job in Material Accounting ( I  deal with Sap MM), I would like to refresh my knowledge in accounting theory. Also, I would like to get a master degree in near future, so I am struggling  with GMAT as well :)). 
",1
5242,1411773748,"On the lecture slides -Gain or loss on disposal of PP&amp;E is an operating activity, whereas Sale of PP&amp;E is investing activity. I can't discern the difference between these two activities.Â ",4
919,1409877662,"An observation: the different opinions reflect the creativeness that is generated to satisfy the balance statement equation for lenders, creditors, and tax examiners. From an investigative point-of-view, there lies the challenge.Â ",2
4513,1411298007,"Good day,I guess this is an asset increase which is not related to cash flow activities.Regards",1
6362,1412815596,"[REDACTED], it looks Â like you're in good shape after all:https://class.coursera.org/accounting-002/forum/thread?thread_id=1089",1
1689,1410071108,"Hi [REDACTED],Dividend payments are reported under cash flow from financing activities just like issue of equity or shares or debt. The reason is that dividends are cost of raising equity. Interest on debt issued by the firm is reported under cash flow from operating activities. Have a look at the financial statements of a public listed company and go to the cash flow statement.",1
9675,1416463016,"Dear Prof [REDACTED], thanks for such a great course. You were informative, precise and humorous ( at times), interesting and informative course.
",1
9831,1417626925,"Even though very marginal relative to the value of the learning offered, it is not a fully ""zero revenue"" model, if the Course is a high standard one like this.Number of signature track signups:Â Â 3,953.Signature track fee: USD 49Revenue: 3,953 x USD 49 = USD 193,697This gives an idea on how Coursera could be able to generate some returns by offering high value courses like this one.We therefore expect (and hope!) to see more and more courses with this standard being offered in the future.",2
6290,1412717915,"Can they have Halloween names and costumes? How about ""[REDACTED] the Vampire Slayer?""Â ",2
7732,1414146299,"If there is a huge unexpected recovery, the balance sheet will look very bad due to high allowance for bad debt expense. Is there any way out to solve this problem?",4
5352,1411908540,"""Inventory as a source of cash is often accompanied by accounts receivables as a use of cash"" , I think am not quite clear about this.Â ",4
4693,1411401664,"If you see ""&gt; Week 3: Cash Flows"" on the Video Lectures page, click on the ""&gt;"" arrow and it should make the videos appear.",1
