id,post_time,post_text,Urgency_1_7
3543,1395952566,thank you all very much,1
2624,1392621206,"hi [REDACTED],All you need to do is notice that $$\frac{2x - 1}{x^3 - x} = \frac{(x+1)(x-1) + x(x+1)/2 - 3x(x-1)/2}{x(x+1)(x-1)} = \frac{1}{x} + \frac{1}{2}\frac{1}{x-1} - \frac{3}{2}\frac{1}{x+1}$$ (partial fractions). The integration of this should be simple.S.",2
3587,1396229475,"ftw... [REDACTED], you win the game...",1
3684,1396871679,"[REDACTED], I am struggling with your first term -1/3 + 1/3*3/5 ...etc
Why is this convergent. If I take the limit as n goes to inf of (2n-1)/(2n+1) I get 1, pwhy do you get zero?
",4
3363,1395211438,"Congratulations as Always my Love (Although you didn't reply to my Love letter ) lolz (Just Joking[REDACTED]). I was wandering around for solutions of Lecture 18,19 (I did it but still having doubts ). Have you Posted it's Solutions some where? Please send me Link I can't able to find it. Haven't started watching Lectures too.Ã‚Â  :-)",5
961,1389967561,"Hi, my name is [REDACTED], from [REDACTED]. i need to better my math foundations and i have found myself here.",2
2581,1392515486,[REDACTED] course is live now [REDACTED]Â https://www.coursera.org/course/m2o2c2,2
3292,1394945024,I live in [REDACTED] ([REDACTED] !) and our clocks change as well. I believe the quiz takes into account the change.Ã‚Â ,2
533,1389601950,Another way we could approach this problem is to remember that the coefficient of $$x^k$$ in a Taylor expansion about zero is $$\displaystyle\frac {f^{(k)}(0)}{k!}$$Now look for the coefficient of $$x^1=x$$ in the Bessel expansion. This allows us to make a conclusion about the value ofÃ‚Â $$\displaystyle\frac{f^{(1)}(0)}{1!}=f^\prime (0)$$ without actually doing any differentiation directly.,2
3996,1398483660,"Professor [REDACTED] ,I thank you for the toughest and most awe-inspiring course I have ever taken. The lectures were simply mind blowing, explaining the most abstract of concepts in a very intuitive and hard to forget manner.Also my deepest gratitude for the coursera team for making this course possible and my fellow students for their guidance in the forums without which I wouldn't have been able to keep up in this class.This has been an amazing journey! All the best to everyone!",2
3187,1394604945,"I'm having problems applying the reduction formula. I'm trying to use:$$\int \cos^n x\; dx = \frac{\cos^{n-1} x \sin x}{n} + \frac{n-1}{n} \int \cos^{n-2} x\;dx$$\[\begin{split}\int \sin^2 x \cos^2 x\; dx &amp;= \int (1-\cos^ 2)(\cos^2 x) dx \\&amp; = \int \cos^2 x\; dx - \int \cos^4 x\; dx\end{split}\]Handling the $$\cos^2 x$$ works:\[\begin{split}\int \cos^2 x\; dx &amp;= \frac{\cos x \sin x}{2} + \frac{1}{2} \int \cos^0 x\; dx\\&amp;= \frac{\cos x \sin x}{2} + \frac{1}{2} \int dx\\&amp;= \frac{\cos x \sin x}{2} + \frac{1}{2} x\\&amp;= \frac{1}{2}(\cos x \sin x + x)\\\end{split}\]For $$\int \cos^4 x\;dx$$, I can't get it to come out right:\[\begin{split}\int \cos^4 x\; dx &amp;= \frac{\cos^3 x \sin x}{4} + \frac{3}{4} \int \cos^2 x\; dx\\&amp;= \frac{\cos^3 x \sin x}{4} + \frac{3}{4}\frac{1}{2}(\cos x \sin x + x)\\&amp;= \frac{\cos^3 x \sin x}{4} + \frac{3}{8}(\cos x \sin x + x)\end{split}\]Sage and wolframalpha give me:\[Ã‚Â \int \cos^4 x\;dx=\frac{3}{8} \, x + \frac{1}{32} \, \sin\left(4 \, x\right) + \frac{1}{4} \, \sin\left(2 \,Ã‚Â x\right)\]My trig ninja skills aren't strong enough to translate one to the other, though that $$\frac{3}{8}x$$ term makes me think that maybe its possible...",4
3712,1397077158,Think of it as n(n-1)(n-2)...(n-(k-1)).If k is 2 then n(n-1) is correct since k-1=1.,2
2590,1392532949,Thank you,1
2850,1393513871,"Hi [REDACTED]Yes, that's a deep question. There are different sorts of singularities: curvature singularities, gravitational singularities, space-like singularities, conical ones, time-like ones; others, predicted by general relativity which are inside black holes, among others.For instance, at the beginning of the universe, the Big Bang, was a singularity. Broadly speaking, around these singularities, things are very weird, bizarre. Due to gravitation the matter is compressed to a point of infinite density and volume zero. The time it takes to the matter to get these singularities, is infinite.There's a plenty to talk about these amazing concepts.",3
1368,1390406722,Congratulations those obtained 10/10. It is not my case.,2
1655,1390762470,"Could you send me the pdf too? my email is [REDACTED]. you're a hero! also, where did you get it? is there a link somewhere so you don't have to go to the trouble of emailing it?",3
452,1389546231,"[REDACTED]To find the series of $$\ln\frac{1+2x}{1-2x}$$, as hinted by [REDACTED], notice that$$\ln\frac{1+2x}{1-2x} = \ln(1+2x) - \ln(1-2x)$$-----mjm",2
538,1389605400,"I always dreamt of learning in this way with such beautiful visuals...An equation flying from somewhere,colourful graphs,etc.&nbsp;Thanks for giving all of us a great opportunity to experience learning in this awesome manner.Waiting for some more courses from you.!",2
3597,1396333400,"ButÃ‚Â $$2ln(1)=0$$, so never mind.",1
2529,1392457119,"Does anyone have any information about when/ if Jim Fowler's Calculus 3 course is going to start?It would also be nice if someone can guide me to basic/ intro level programming courses on the internet. No heavy stuff, just need to know the fundamentals of C++ or Python.P.S - I have no previous exposure to any sort of programming.P.P.S - If anyone's interested he/she can check out this course on futurelearn -Ã‚Â https://www.futurelearn.com/courses/higgsI have done the first week and it seems that it discusses almostÃ‚Â all of the most recent developments in Physics at a Freshman level. The degree of detail isn't bad either.",3
2218,1391816467,"Well, questions 2 and 3 are simply testing the fact that integration is the inverse of differentiation. You don't actually have to do any integration. Sort of like 'what is the arcsin (sin pi/4)?' You would immediately know the answer without doing any math.",2
2960,1393793980,$$\sum\limits_{i=1}^{n}\frac{27 i^2}{n^3} =Ã‚Â  \frac{27}{n^3}\sum\limits_{i=1}^{n} i^2$$You must apply:$$\large \sum\limits_{i=1}^{n} i^2 = \frac{n(n+1)(2n+1)}{6}$$Etc.,1
1957,1391265342,f(x)=f(a)+f'(a)h\Rightarrow \sqrt{64}=\sqrt{67}+\frac{1}{\sqrt[3]{64^{2}}*3}*3=4+\frac{1}{^{\sqrt[3]{64^{2}}}}=4+0.0625=4.0625,1
3081,1394157314,Thank you!,1
1347,1390384562,[REDACTED] and every one else who has done it. Congartssssss!!!!! one stage crossed. you all rock!!!! I am following your footsteps. :) and guess what .......I have done it. 10/10. Last question was very tricky. I almost got it wrong but after checking it again from the previous HW I finally saved myself. WHooo hoooo&nbsp;voila!!!! One nightmare is finished. Thanks to our Professor. And I did panic. :P,3
1764,1390883890,Is the deadline over now for everyone ?,4
1170,1390134625,"Hi [REDACTED]
We know that in all polynomialsÃ‚Â ,Ã‚Â Ã‚Â where the order
isÃ‚Â ,Ã‚Â .So, we need to
compareÃ‚Â Ã‚Â withÃ‚Â , taking in count that
we can expressÃ‚Â Ã‚Â  as Ã‚Â .Then,Ã‚Â knowing that Ã‚Â ,Ã‚Â for what values ofÃ‚Â ,Ã‚Â Ã‚Â Ã‚Â grows faster thanÃ‚Â Ã‚Â whenÃ‚Â Ã‚Â ?",2
1923,1391185007,Q3 core.Hi [REDACTED]!I basically skipped high school and college math.Ã‚Â I can apply the rules and get an answer but often the steps for converting that into the form on the homework is a real blind spot for me. So how do I convert this into the correct answer?(105x^2+140)(x^3+4x)^4cos(x)-7(x^3+4x)^5sin(x),4
3941,1398354299,"Q6AproximateÃ‚Â $$ln(\frac{4}{3})$$ using taylor series $$\ln(1+x) = \sum_{n=1}^\infty (-1)^{n+1}\frac{x^n}{n}$$Ã‚Â includingÃ‚Â $$x^3$$Error isÃ‚Â $$C$$ is maximum value ofÃ‚Â , t between 0 and x$$f(x)=ln(x)$$deriving$$f^{(4)}=\frac{-6}{t^4}$$the maximum value in t=1 is 6. Thus,$$|E_{N}(x)|\leq\frac{6}{4!}x^4$$andÃ‚Â $$ln\frac{4}{3}=ln(1+\frac{1}{3}))$$$$|E_{N}(x)|\leq\frac{6}{4!}(\frac{1}{3})^4=\frac{1}{324}$$",2
2490,1392388790,"I am puzzled with the requirement ""G&gt;=0"". The explanation says option ""For some values of a
 and b, there are no equilibria"" is wrong because ""Odd-degree polynomials must have at least one real root"". But in this case, G must be no smaller than zero. So do I need to make sure there is at least one real root no smaller than zero to say there is at least one equilibria?",4
1987,1391294048,"I didn&#39;t know about the formula, either.  But, after I found out, the negative sign let me know that I had to reverse the sign
",2
1419,1390500685,"You should look at this problem very carefully. Remember how to get the Taylor series of a function about zero. Don't forget any of the steps and you should be good.I solved this problem correctly, but in my first try I forgot the division by the factorial and got it wrong.",2
1643,1390755214,Yeeeeeeeeeeee.I am with all of you my friends. Score 9.25. in Quiz 1. Long Way... Running fast... But still haven't listen to last lecture There is only 1 question(Q10) from it.&nbsp;I guess it.&nbsp; 1 was right &amp; another wrong. Lolzz :-)Let's go do some more Math.,2
2370,1392136229,I get as far asÃ‚Â arcsin x = arcsin t + cbut then I don't know what I'm doing. Ã‚Â  I don't know how we go from there to x(t) = something.I'm not understanding the x(t) substitution or what it means. Ã‚Â  I always thought it was the same as y or f(x). Ã‚Â So what does arcsin x mean in terms of x(t)?,4
1918,1391179118,"when we should use&nbsp;IMPLICIT DIFFERENTIATION? for the circle, we see the result of&nbsp;IMPLICIT DIFFERENTIATION&nbsp;is dy/dx=-x/y, what does it mean? the slope of tangent line? for any point (x,y) on the circle, slope is y/x, the tangent's slope shall be negative&nbsp;reciprocal&nbsp;of y/x, then is -x/y. easier to know then&nbsp;IMPLICIT DIFFERENTIATION.",4
4,1389333804,"Hello fellow students! and teacher too, of course. My age is 50, passion for math. Hope I will be able to achieve the full course. Cheers",2
360,1389484294,"[REDACTED]1) Find the range of $$1 + x^2$$ (not very difficult, this is the sum of a constant and of a square).2) Check whether this range is included or if it intersects the domain of $$ln(x)$$.3) Let's call $$A$$ the interval(s) found, find the sign of the derivative of $$ln(x)$$ for $$x \in A$$.Conclusion?-----mjm",3
2323,1392018903,"Sol Q1Note:Ã‚Â Ã‚Â These solutions are going to be available in the next iteration, from May to August 2014.If someone, of this iteration, in interested in them, please let me know.",2
2957,1393791449,I'm a bit lost on this one as well. I get:$$\Delta x = \frac{3-0}{n} = \frac{3}{n}$$$$x_i = a + i\frac{b-a}{n} = \frac{3i}{n}$$$$\sum_{i=0}^n f(x_i)\Delta{x}$$With $$f(x)=x^2$$:$$\sum_{i=0}^n (\frac{3i}{n})^2 \frac{3}{n}$$$$\sum_{i=0}^n \frac{9i^2}{n^2} \frac{3}{n}$$$$\sum_{i=0}^n \frac{27i^2}{n^3}$$Any hints to where I'm going wrong?,4
3831,1397651846,"I tried to catch up with the level of course, I picked the calculus 1-2, but it was not enough. No I step out from this course because I want to download the videos and exercise and I hope next year, or the next time I'll have successfully fulfilled.This was a great course with great presentations, unfortunately I've missed the level. I hope the next occasion.Best wishes:[REDACTED]br />",4
616,1389661676,srsly,1
223,1389408312,Glad to meet all of you! I'm from [REDACTED],1
2522,1392440435,"Hi [REDACTED],Ã‚Â To build on what Anon correctly said, once you find a formula for $$C$$ you can use it to find a value for $$t$$ such that the amount of caffeine left in the system after $$t$$ hours is half the original amount. Ã‚Â The amount left after $$t$$ hours is $$C(t)$$, which you already showed to be $$C_0e^{-0.14t}$$ above. Ã‚Â The original amount is $$C_0$$. Ã‚Â So you're looking for a $$t$$ that satisfies $$\frac{C_0}{2} =Ã‚Â C_0e^{-0.14t}$$. Ã‚Â You can use standard algebra, together with the help of the log function, to solve this equation for $$t$$.Best,[REDACTED].",2
1519,1390618128,"About 7, i kep t getting it wrong.  I finally wrote the usnots and changed the sign.  It&#39;s nit velocity, it&#39;s speed.  One of these 2 things fixed the problem.  Not sure which one of them.  Now i am having the same kind of trouble with one of the challenging problems
",3
3654,1396733524,The sum of ln(3+x) doesn't converge at all for x=3...but it does for x=-1,2
2202,1391784075,"Problem: There is a typo or other mistake on the page (e.g., factual error, information omitted)Problem ID: pages-mistakeBrowser: Chromium 32OS: UbuntuAdditional details: The video stares that d/dx arccos(x) = 1/(sqrt(1-xÃ‚Â²)), when it's actually -1/(sqrt(1-xÃ‚Â²))",5
283,1389446393,Ã¦Ë†â€˜Ã¦â‚¬Â»Ã§Â»â€œÃ¤Âºâ€ Ã¤Â¸Â­Ã¦â€“â€¡Ã§Å¡â€žÃ¥Â­Â¦Ã¤Â¹Â Ã¥â€ â€¦Ã¥Â®Â¹Ã¯Â¼Å¡ [REDACTED],1
4004,1398572070,"Dr. [REDACTED],Here is a quote from an e-mail I sent to a close friend about the calculus class I was taking:""This professorÃ‚Â is very nice.Ã‚Â  HeÃ‚Â has already approached thoseÃ‚Â who have notÃ‚Â passed offering his encouragement and the fact that the lectures will be available to view indefinitely and that the course will be repeated soon.Ã‚Â  He is one of the neatest professors I've ever experienced.Ã‚Â  I was going to write ""seen"" butÃ‚Â realized that he is an ""experience"".Ã‚Â  He has so much empathy with students and yesÃ‚Â love.Ã‚Â  He is very knowledgeable and a good mathematician yet humble and human with a good sense of humor.Ã‚Â  I know he would like to hear this from me, and I might copy this part of the above to send to him when this is all over.""It is now over and there is the quote.Thank you Professor [REDACTED]![REDACTED]",3
3978,1398394998,We are very very interested.,1
632,1389678354,Sorry everyone. I watched the arctan as arcsine and that's why I cannot figure out. arcsine is binomial series and arctan is a geometric sequence. Sorry guys but thanks agian.,2
297,1389454754,I noticed some classmates suffer gaps in their pre-calculus (scool algebra or trig) knowledge.One really good free textbook I spotted last year is Profs. [REDACTED] & [REDACTED]nbsp; Precalculus. It is rather lengthy (1000+ pages) but really great and may be used both as a recap texbook and as a handbook. One-volume comprehensive version as well as separate volumes for algebra and trig (the texts are identical) are available  for download from their site as PDF documents.,2
693,1389724121,"Hey guys, as far as my iteration was concerned, you had a strict 3 hour time limit to complete the final exam(I took the proctored exam but same was true for others as well). Once you start it, you needed to complete it in one sitting. Unless there is any policy change, don&#39;t assume that you can close the final exam and come back again. 
In case of a technical fault, coursera somehow detects the abrupt ending of your session and grants you one more attempt. There will be new questions in this attempt. So you get a second try, but you do need a stable internet connection at least for the 3 hours.
",2
299,1389455027,I am feeling very lazy and so would not try :) ... but I am sure that&nbsp;&nbsp;&nbsp;is not integral of 1/ ( 1 + 4x/1-2x) and so straight application of Taylor expansion is not valid&nbsp;,2
3564,1396045979,"Can we solve all of hw 53 with convergence tests? I had to resort to using the FTIC of discrete calc for one of them, after laboring for quite a while by applying the tests.",4
1305,1390338731,"Hello from [REDACTED]! I am [REDACTED] and i'm a Biology major. I discovered the fascinating world of MOOCs just a week ago..... and now i'm currently enrolled in far more courses I can actually follow.... I will check them out to decide in which to stay, but I am giving priority to neurosciences and astrophysics, I find both fields fascinating and hope to finally learn more about them. Being a former mechanical engineering I have some background in physics and math, though I need refreshment. So much to learn!Japan... that is awesome... I have to travel Asia some day.",2
1859,1391059509,Thank you! I know what I'll be listening to at work tomorrow!,1
2775,1393249008,Done! but more than one attempt in every HW. :((((((((((((((((((((((((((((((((((((((,3
3559,1396022602,"In the simpson calculation is this correct for the sequence part? Ã‚Â I'm not sure ""how far to go in the middle"".Ã‚Â f0 + 4f1 + 2f2 + 4f3 + 2f4 + 4f1 + 2f2 + 4f3 + f4",4
3218,1394685646,You mostly integrated it right but didn't account for the chain rule. TheÃ‚Â $$h$$ is multiplied byÃ‚Â $$-\frac{L}{T_0}$$ so you have to compensate withÃ‚Â $$-\frac{T_0}{L}$$.,2
560,1389629658,"It's funny, I've had no big issues with all of the other core homeworks, but I'm missing how on earth to simplify that radical properly. I've obviously forgotten some rule.&nbsp;",2
1392,1390454670,"When I select math-&gt;Full Preview, there is no way to close the preview to get back to editing. This used to work.

The only way to preview and then edit is to post changes, go back to the message listing, click on the message again and select edit, and finally ""update post"". Painfully slow.I'm seeing the same behaviour with Firefox 26.0&nbsp;Thanks,

[REDACTED]

",5
2226,1391839105,"$$ dlny=dx(ln(lnx)+1/lnx) $$
",1
361,1389484317,How do I approach this problem?&nbsp;,3
3341,1395101750,[REDACTED]: Can you please lend your insights to the #2 HW 39 Challenge question regarding the average temperatureÃ‚Â  Ã‚Â  Ã‚Â  Ã‚Â  Ã‚Â  Ã‚Â  Ã‚Â  Ã‚Â over the entire earth? Now I've attempted to solve this question three frustrating times. I don't even comeÃ‚Â  Ã‚Â  Ã‚Â  Ã‚Â  Ã‚Â  Ã‚Â  Ã‚Â  Ã‚Â  close to the possible answers. Thank you.,5
1739,1390856373,"Hi, could you send me a copy of the pdf as well?[REDACTED]thanks a lotjjc",3
1722,1390841461,About Q8:First I split the function into two functions:$$f(x)=sin^3(x^3)$$After splitting:$$g(x)=x^3$$ and $$h(x)=sin^3(x)$$So that when we do $$h(g(x))$$ then it will equal $$f(x)$$.Now according to the rule given in the lecture:$$d(h(g(x)))=d h \times d g$$First we will find the derivative of $$g(x)$$ which will simply be $$3x^2$$.Then we will find the derivative of $$h(x)$$ which is $$3 cos(x) sin^2(x)$$.We will now multiply both of them to get the answer which will be:$$(3x^2)\times (3 cos(x) sin^2(x))$$ which after simplifying becomes the answer.,2
3589,1396267558,"Hello [REDACTED].When I solved this I used u-substitution.$$u=x+1$$$$du=dx$$$$\int_0^3 5(u-1) u^{1/2} du
$$Why? remember, u = x + 1. So you can replace the x + 1 with u. Therefore, you have u^(1/2).However, you still have the factor 5x. You can replace the x here with (u - 1) since (x + 1 - 1) removes the extra 1 from u and you are just left with x.This should result in$$(2/3)(x+1)^{3/2}(3x-2)|_0^3$$Then just evaluate for the limits.Hope this helps! If you need more help just ask.",2
1260,1390273699,"Hi [REDACTED],Could you tell specify the homework and problem number? &nbsp;Then I'd be happy to try to help.G.",1
3391,1395317213,"I get F(rope) = 600 J (0.1  10  6)  + F(spring) dx = 600+  217 , this is wrong. Why?
",4
3151,1394471413,"With h on the y-axis and 2R in the x-axis:dS=pi*x*dLdL=dyS would be the integral of pi*x*dy from y=0 to y=h, andx = (h-y) * (2R/h)Is this wrong?",4
699,1389725578,"Not trying to knock anyone here. No offense but I hate face book. I prefer this forum above all. People make skype or facebook groups. It is absurd because we already have an awesome place, this forum.&nbsp; :) Awww, c'mon!",2
2591,1392533260,"Thanks for the multi-variable lead [REDACTED].  I'm glad [REDACTED] multi-variable course is out before prof. [REDACTED]'s version.  [REDACTED] is perfect for an intro to a subject.
",2
1988,1391295750,Elasticity is strain divided by stress and not the other way around.,1
2942,1393778491,"Congratulations to [REDACTED], [REDACTED], [REDACTED], &amp; Everyone else those who has completed QuizÃ‚Â  ",1
1590,1390681587,To [REDACTED]: have you stopped guessing at my identify?,1
785,1389796782,"I'm trying to find my mistake in Question 6 (Core). &nbsp;The Taylor Series expansion of cosx sin2x up to terms of degree 5. &nbsp;Do I first begin with finding the Taylor Series for sin2x? &nbsp;If so, does it look like this:2x - (1/3!)(2x)^3 + (1/5!)(2x)^5 + H.O.TAfter the first part, do I plug in the answer from above into the Taylor series for cosx?",4
1885,1391100569,"Great, thanks guys. &nbsp;Just wanted to make sure I wasn't missing anything. &nbsp;",1
801,1389801030,"Prof. [REDACTED] my one question is still unanswered that is **&nbsp;i want to know if i do all Homework n do quiz, do u think the exam will be easy for me?&nbsp;**&nbsp;please reply, thank you for clearing :)",5
2499,1392401050,Many thanks [REDACTED].,1
3961,1398366417,The key is to extract 2 out of $$(2x+1)^n$$ which then equals $$2^n(x+\frac{1}{2})^n$$Using this then produces correct result.hth[REDACTED],2
2925,1393758633,Quiz 3 is done! 7/10Now all I have to do is remember all of these techniques for the final!,2
2485,1392373836,"Not,$$\large \frac{dx}{dt} = x$$$$\large \frac{dx}{x} = dt$$$$\large \int \frac{dx}{x} = \int dt$$$$\large ln(\frac{x}{C}) = t$$$$\large x(t) = C e^t$$Etc.",1
660,1389709682,"Hello everyone!Probably I just made a stupid mistake in thinking but I've been trying for a ehile now and just can't get a reasonable answer.The problem is that I don't really know how to calculate/deal with the Taylor series of x^-1 (which is part of problem 7, core).I think one should use the geometric series to calculate this but use (1-x) instead of just x. Expanded, the series then looks something like this:$$1+x-1+(x-1)^2+(x-1)^3+(x-1)^4+...$$There are two problems with this: First, WolframAlpha (which I checked after I had tried for a while) doesn't agree (that's generally a bad sign ;)Secondly, when I think about expanding the $$(x-1)^k$$ bits, I have a problem because even say $$(x-1)^100$$ has one term in it that has x^2 (I hope you understand what I mean).Can anyone explain to me what I'm doing wrong?Thank you,Tony",4
