id,post_time,post_text,Urgency_1_7
526,1382723758,"[REDACTED], I think you're conflating design and marketing. I understand your objections against creating unnecessary objects and reinventing the wheel but these IMO are complete opposites of good design.&nbsp;""It would appear that a main premise for this course is that ""gaps"" -- shortfalls between what we want and what we have -- can be addressed only by designing something new.""This is not true, nor was it stated anywhere in the requirements. Design is as much about small refinement of existing processes / objects as it is about innovation. Every problem is to an extent a UI problem, and your goal is to come up with a solution that you can explore, iterate on, verbalize and present to a larger audience.&nbsp;The purpose of this class, as far as I understand it, is to teach you how to think like a designer. This means engaging and developing your observation skills and critical thinking, and looking at everyday processes as something that can be optimized. An artifact which would result from such optimization is not necessarily a physical object - it may be a program, an improved process, even a better layout for the post-it notes stuck to ones fridge. I think you'll find it easier to identify gaps if you focus on finding problems first before limiting yourself to a particular solution (like the hypothetical gizmos you mentioned). That's why we've been asked to brainstorm and find ten gaps instead of one.",2
1013,1382940593,"I like this topic , we can share more interesting books?? Chip Heath, Dan Heath - Switch: How to Change Things When Change Is Hard--Why is it so hard to make lasting changes in our companies, in our communities, and in our own lives? In Switch, the Heaths show how everyday people have achieved dramatic results??David B. Berman - Do Good Design: How Designers Can Change the WorldI do not know how to upload the electronic version, anyone has good suggestion???&nbsp;you can contact me if you want the electronic versionLooking forward to more sharing",2
2735,1385148838,I'm still going and have reached week 5...comments...?&nbsp;[REDACTED],2
196,1382461939,"I have no idea what an SO is (sorry!) but have a similar problem. &nbsp;I am a textile artist living in a hamlet of [REDACTED] people, most of whom I don't know, for a variety of reasons, including the fact I work alone at home. &nbsp;I have very few gaps in my life, and the ones I have relate to my work and studio. &nbsp;I have many online friends who might experience similar gaps, but no one I see face to face regularly. &nbsp;I am 25+ miles from my nearest centre, and over an hour away from anyone who could relate. &nbsp;Clearly face-to-face is not going to work for me!",2
2748,1385176294,"Hi,Please help with my:[REDACTED]Thanks for your voting!",2
541,1382729085,Thanks for the help!,1
2616,1384872728,"Hey cool, [REDACTED] 
I would have happily taken any of them to clean up my lawn of sticks and leaves last week.  Great Concepts, and Great Animations!
",1
3381,1387045600,"I am planning to seriously take:Programming Mobile Applications for Android Handheld SystemsLive!: A History of Art for Artists, Animators and Gamers",1
1911,1383662524,"Are you saying that a picture isn't the best way to describe your 10 ideas? &nbsp;(In which case, just describe it with words; I do think there is a bit too much emphasis on visual expression. &nbsp;Sometimes a word is worth a thousand pictures.)",2
2270,1384228589,"&nbsp;I think I make a mistake when paste the link. I got 0 for second assignment, someone leave message for me that they can only get link into main page not my page. The worst thing is that I also submit assignment 3 in the same way! I am desperate now, I really put a lot of effort on the assignment! Is there anything that I can do to give the right website link of assignment 3 to peers? Thanks!",6
443,1382658107,Your 10 gaps are really good -- I want products to solve all of those problems!! :),1
280,1382524301,"Hi [REDACTED],Course staff is already working on it, but in the mean time, I've tested the link showed bellow, and it works on Google Calendar.Click on the calendar icon and read this help guide&nbsp;to add the calendar to your preferred service.As you can read on the help guide:""Please note that deadlines are sometimes pushed back and calendar applications typically take a few hours to pick up on changes, so you should always check the website for the latest information if you're not sure.""For a quick glance for upcoming deadlines, please have a look at the right bar on the Home page on Coursera platform.Please, tell me if it works for you ; )",1
1555,1383400376,I'm glad I'm not alone in this...*sigh*,1
