id,post_time,post_text,Urgency_1_7
8129,1367095037,"I totally agree with everyone who has said that ""self evaluation""is a great learning experience...it's really&nbsp;enlightening to read the different perspectives,I have on&nbsp;occasion&nbsp;marked &nbsp;myself ""down"",not for any altruistic reason....my work simply was not as good as some of the ones I read!!!The benefit(s) of self evaluation is you can be objective &amp; it helps you rethink your ideas...yes you can make notes in the ""what could have made this submission better field""as a note to yourself....but you would not have this opportunity if you did not have the comparison of self evaluating your work,soon after marking your peers work?Think self evaluation is brilliant...(note to self)",1.0
1460,1364950852,"Hi [REDACTED]!I am also in [REDACTED], I am a social worker, and teach work skills training. What region are you in? I am trying to learn gamification in order to try to make my work skills curriculum more engaging and fun for people that are involuntarily in my program.Keep in touch - you can email me at [REDACTED]!",1.0
2344,1365131081,"I have been scanning posts about games played by students and i was trying to judge the age of the students based on the games they have mentioned :-)&nbsp;e.g. if someone has played digger on PC 8084 CPU, them he/she could be about my age :-)&nbsp;",1.0
2466,1365171443,"yeah the changing background is fun, but I am finding that I am actually getting distracted by it trying to figure out the message and am focusing less on the lecture even though the lecture and the professor are fantastic!",1.0
8785,1367394702,Any answer from coursera admin. What about posting the answers on linkedin course group?,5.0
6747,1366509355,"The problem summary:Question 9 requires more than one answer, but there is only one correct answer displayed.&nbsp;I only chose an additional answer to the correct one because of the checkboxes.&nbsp;This test item should have used radio buttons. &nbsp;Question 1 is also incorrectly scored. Although I had successfully chose the correct answers, one of the incorrect answers is marked as correct in the feedback form.&nbsp;Screenshot: Since the deadline for taking the quiz hasn't passed yet, I didn't think it was a wise idea to post screenshots of the questions with the feedback.",5.0
7411,1366696422,Maybe you just saved the draft and you didn't submit?,1.0
9962,1368053265,"I emailed one of the people who actually made the video, and he replied&nbsp;""Hi,&nbsp;Thanks for bringing this to my attention, i got a kick out of watching our vid on the course site :)oh, and he's just playing.&nbsp;""So there we have it. He's not gamifying his exercise.anon 2",1.0
3382,1365424693,"Ok, the other day the website was working fine for me, now instead of icons (Next to my name, ""About"", ""Course Wiki""&nbsp;and also next to the videos i now just have a small square. when i try to load any video it is just black with a red cross.I've tried setting the videos to flash player, it did nothing. I've logged in and out, and this problem started yesterday and is still happening now.I am a complete loss, and feel i may have to unenroll from the course i have not been able to even complete week 1 work yet or do the quiz as i have had a busy week!Hope somebody can help!Thanks!Xxxxx",5.0
4757,1365829847,Check this out -&nbsp;SIGHT:&nbsp;http://www.youtube.com/watch?v=lK_cdkpazjIFor those not convinced by a future filled with gamification!,1.0
8252,1367167124,"[REDACTED], I have the same reservations as you in relation to Gamification as a marketing tool, but I still feel interested. &nbsp;I haven't found a gamified tool that got me to play yet, not even the Linkedin progress bar, but I want to learn more about why I think these things are stupid and I don't want to play. &nbsp;I sense that in the future either (1) more people will be like me and eschew social networking and sites requiring log in or (2) I will be more completely disadvantaged by refusing to play than I already am (my coworkers at a meeting all on their iPhones, and me just sitting there like the Freak at work who doesn't {care to} know the game they are talking about)",2.0
5119,1365955823,"Thanks [REDACTED], the list is reversed, I didn;t notice. Thanks for your feedback!",1.0
1837,1365017231,"Play:&nbsp;&nbsp;learning programming languages currently ActionScript 3.  Ultimately I want to use it to develop games for my students but I really also just like to play with it to see if I can make stuff do things on the computer.&nbsp; Likewise I really enjoy animation and am using iClone to see if I can develop avatars that can ""play"".&nbsp; I'd do both of these activities even if I didn't have students or business objectives.&nbsp; Its just fun.&nbsp; I do a lot of gaming.&nbsp; I develop interactive tutorials for my students, some involve tests as games.&nbsp; I like to avoid giving them test or grade anxiety so try to make the ""point"" giving a game when ever possible.&nbsp;",2.0
10237,1368300598,"Oh it was a nightmare! My internet connection went kaput, then I realized I hadn't paid the bill, then when i tried to pay the bill the website was not working (obviously as my internet was down), went to a friend's place to borrow some internet (LOL!), we both got stuck in a freak thundershower, so the power went out (any more bad luck, and I would have thrown myself off a cliff), and without power the router was not working.Finally, after all that, I was able to take the test. 29.20, but I feel like I have defeated the biggest boss. Phew!!",2.0
4170,1365643247,"Yatzee is a game I haven't played in a long time, my kids have been really into it lately.Chance: It is basically a game of chance or a game of probability, which I don't know why I like it because gambling is a game of chance or probability and I don't like to gamble.&nbsp;Choice:&nbsp;There are choices to be made in the game, making the correct choice can assist the player is achieving a higher score, or a loss. It actually involves a certain level of thinking and risk.Rules:&nbsp;Yatzee also contains a specific set of rules that are followed.There are so many great games, it is hard to choose.",1.0
