id,post_time,post_text,Urgency_1_7
2067,1399932033,"Hi evryone, my name is [REDACTED]. I am from [REDACTED], I finished my business administration studies in [REDACTED] and currently work in [REDACTED] as a management trainee in one of the biggest [REDACTED] MNCs. I look forward to working with you during this course on the interesting topic of global trends.",1
2581,1400294908,"Africa apparently is also a target of Facebook and Google with novel solutions to increase the internet penetration. According to a 2011 World Bank report of the  total number of Internet users in a country as well as the percentage of the population that has Internet access, Africa has only a 10% internet penetration in Sub-Saharan countries. Here's the link: http://geography.oii.ox.ac.uk/?page=internet-population-and-penetration""Some African countries have seen staggering growth, whereas other have seen little change since we last mapped Internet use globally in 2008.
 In the last three years, almost all North African countries doubled 
their population of Internet users (Algeria being a notable exception). 
Kenya, Nigeria, and South Africa, also saw massive growth. However, it 
remains that over half of Sub-Saharan African countries have an Internet
 penetration of less than 10%, and have seen very little grow in recent 
years.""There is so much opportunity for growth![REDACTED]",2
4039,1401897731,"Failed states are characterized by high crime, and a high-risk business 
environment.
While the USA leads the world in illegal drug consumption, and leads the 
developed (Western) world in violent crime,??the US is currently the leading economy.??????US corporations, financial 
services industry, and Wall St equities markets are still considered the among the safest places to invest, and 
trade.
US government bonds are ranked among the??highest credit rating. 

Trans-national organized criminal organizations operate some of the world?â‚¬?s 
largest industries (illegal drugs,??human trafficking, arms trafficking, counterfeiting). Globalization has increased the reach of organized crime.
Relevant measures of failed states are GDP, govt credit rating, foreign aid 
received, mortality, literacy.??",2
3748,1401552108,"Problem: Week 5 Reading links not opening.URL: https://class.coursera.org/globaltrends-001/wiki/syllabusBrowser:  OS: Windows 7Additional details: Global Report 2011: Conflict,??Governance,??and??State Fragility??These URLs not opening.?? see the attachment for error message.",5
2487,1400215101,"We probable do not need so much stuff produced in the world. However, I have more positive view about the system. Multinationals and corporations are manned and owned by people. And, most people are good and care about the planet. Our responsibility as consumers is to guide the consumption in the right channels like both of you are righly doing.One ""expected"" plus of the ""profit maximization for stock holders"" and competition in the long run is the need to use raw material and positive image as efficiently as possible. One side effect of this system is that those than can play and risk the game can become richer. Here we as consumers, stockholders or any other stakeholder need to ensure competition and focus on long term profit.Globalization has some rough sides and can be challenging, but overall it has increased peace and living standard around the world and will most likely continue to do so.??",2
248,1399260823,For any [REDACTED] out there interested in joining a study group and/or discussion forum!!Buena Suerte a todos en la clase!!!!![REDACTED] - [REDACTED],1
3103,1400759605,"
By its very nature the western democracies have become a playground for lobbyists, industry interests and conspiracies that have absolutely no interest in real democracy. The ""democracy show"" must go on nonetheless. Conveniently, the show consumes the energy of those that might otherwise become dangerous to the status quo. The show provides the necessary excuse when things go wrong and keeps up the illusion of participation.

Article here.
edit: This sentence is, in my opinion, very important;

Presenting the problem to the population as a mutually exclusive choice between an uncertain dangerous freedom and an assured survival under the securing umbrella of the trustworthy state becomes more easy the further the various crises develop. 

Think about how the last 3 problems in your country (i.e. military buying new weapons, introducing a new tax) or in the world (i.e. coup d'etat in Thailand, Syrian army taking over Aleppo) were presented to you. 
Then pick one and spend an hour reading online about it. Don't read the usual scripts. Go to twitter.com/search, find personal blogs of people who are closely related to that problems, search youtube, vimeo, liveleak etc. 
The danger of the 60-year-old bureaucrat will become clearer.
",2
4679,1402916814,Thank you very much for this course. I enjoyed it very much and hope you will do another course on the matter.,2
4394,1402502315,"[REDACTED],these are also countries with high risk of becoming a failed state. Which malaise do you cure first: high cost of oil or possible social unrest and in some cases civil war. Anything that has a large trade dollar number attached to it has large interest and causes fueds. Banana, coffee, sugar, diamond, gold trade is not that much different. Many of the countries that trade such commodities find themselves in the same or similar situation as oil trading countries. It is not a coincidence. Governments have a duty to act in the best interest of the people, in theory, but we know what happens in practice.",2
1968,1399891141,"The growth of population in Africa is not due to foreign aid. The major issue is to find ways to implement birth control and a better education for the women. Most of the women do not have access to education and are not informed about birth control.Also when you see the recent kidnapping of more than 200 girls in Nigeria by an extremist group just that to be sure that these girls can not go to school anymore that give you a glimpse of some part of the problem.The developed countries need to help women in Africa to have access to education.Better economic, political, and social opportunities available to african women should help to reduce the number of children.",2
4805,1403017993,"I think if there were problems w cattle supply, it would drive up prices at supermkts, restaurants, McD and other junkfood places. Consumers would therefore either choose to eat it and pay a higher price or skip a meal w meat. I'm not a vegan, however per wk I eat 2x or more days w-out meat in my diet. You can perfectly go w-out too much meat.In general food prices will go up see below art.http://www.fao.org/worldfoodsituation/foodpricesindex/en/",2
5001,1403239157,"As someone whom has never been to the Middle-East before, it holds a special fascination for me.the sudden ascendancy of Dubai's international airport places Dubai as the new center between Continental Europe and South and East Asia, overshadowing Sri Lanka, Mumbai, Kuala Lumpur and Singapore's position as air hubs.Here is the news article:http://www.nytimes.com/2014/06/19/business/international/once-a-humble-refueling-stop-dubai-is-cross...Are there any UAE nationals or Emiratis here?I would love to hear your stories and experiences on this.",1
2637,1400345779,"What I found most striking was that obesity was regarded as a major health threat.

In a way, this indicates the increasingly improving lifestyles of major populations across the whole; and that fast-food chains might just be the most globalized of all businesses.",2
4908,1403111194,Do you mean the last quiz? ??The hard deadline for that is June 20. ??There is no final test for this course.??https://class.coursera.org/globaltrends-001/wiki/GradingandLogistics,1
148,1399250817,Hi I am [REDACTED] from [REDACTED] and interested in global trends from a different perspective than the convenient ones from the news media and those from the industries and politicians with a vested interest..... cheers,1
2940,1400603562,"I agree with you [REDACTED].I can see that system - tax, law, politics, that forbids inequality is resulting economy and society as a whole to get stagnant, like happened in Soviet Union, but like you said, if inequality is caused only by different personal activity, it should not be considered bad.??Our tax laws in [REDACTED] are such that salaries are very equal. We are the most equal country in that sense. It does not encourage to put the extra effort or take entrepeneurial risks. You study basically for your own fun, not to gain higher salary.Other issue is how govrnments keep political power in control, if the wealth piles to very few. (South America in the 1900 s)",2
3407,1401118271,"Hi Prof.,??Is it at all possible to see a demographic breakdown of those enrolled in the course? It would be very interesting to:1. Learn more about those who are attracted to a MOOC.2. See which countries/types of people you are referring to when you provide us with feedack on the opinion polls.",4
836,1399354621,"The wealthy push for modernization-esque models of development, at the same time citing that if the GDP, etc. rise, money will eventually 'trickle down' to the poor but we all know that does not happen. They themselves amass most of this money and even if they don't, the taxpayers' hard earned money and other investments that SHOULD be used to meet the needs of the nation's poor, are diverted to other countries, deposited in Swiss banks, resources are illegally exported to other countries at baseline prices, and so on.So yes, it is a big mismanagement problem.",2
2549,1400263278,"Hello everybody,As the course has an official fan page in Facebook, it would be wise if some interesting postings here, are reposted on the fan page and in this way those postings would be available once we finish the course here in Coursera.Even when some of you already know it, the link to get to the page is:[REDACTED]Have a nice rest of the day!",1
2680,1400384070,"Of course, I just wanted to show that that 30 million mens more than women are not so big number in China, a country with more than 1300 million inhabitants....",1
5307,1404548434,"Problem: Statement of Accomplishment not issuedURL: https://class.coursera.org/globaltrends-001/forumBrowser: Firefox 24OS: Windows 7Additional details: I have completed the course Analyzing Business Trends for Business and Society, with more than 70% correct answers in the weekly quizzes but haven't received my Statement of?? Accomplishment yet.My scores are as follows:Week 2 : 6/8Week 3 : 8/8Week 4 : 6/8Week 5 : 8/8Week 6 : 7/8I considered it appropriate to wait for sometime till the course ended to receive it but that has not happened yet. Please do let me know by when can I expect it. Thank you!Screenshot:",5
3900,1401729437,"However, the best idea is share the global wealth to avoid extreme poor countries i nthe world. I am afraid its not posible.",1
4248,1402310986,"The concept of stopping the piracy from Somalia is quite necessary and beneficial to the rest of the world. But here is the question, if we were to put ourselves the the shoes of the common citizen of Somalia, who is exposed to poverty, malnutrition and scared from the political instability in the country, unable to take pride in who they are; and to top it all to be used by the more developed nations as a waste dumping landfill what other options would they have than to resort to equally powerful and tete a tete measures.This is a fact that the poorer countries are being used by the more advanced countries considering the cheap labor available, the technological backwardness and lot of other factors. In order to fight the Somalia piracy threats, the economic upgradation of the country is vital. The people should be able to place enough trust in the government and be able to access the basic requirements to feel secure enough to abandon piracy as a whole.",2
702,1399328416,Hello everybodyMy name is [REDACTED]. I work as a Commercial Manager at [REDACTED]. ??I have MSc in Financial Management ??and MBA.??Nice to meet you all,1
1636,1399658210,"[REDACTED], I like your many of your biases!! Congratulations for your achievements!!You think the government should not intervene excessively in the lives of the citizens, I agree. People sometimes forget that the government is also composed of persons, not gods or supernatural beings... In the end, when the government strangles the individuals and the economy, usually the governmental officers continue to enjoy lots of privileges, regardless of who produces the wealth and how logically or absurdly such wealth is distributed...",1
3055,1400695935,"This is a really interesting question. I highly recommend you look at the work Thomas Piketty has been doing (his book Capital in the Twenty First Century investigates the mechanisms behind levels of inequality.I think there are a lot of factors that would influence optimal inequality, including rates of growth as one commenter suggested, but also different social characteristics (a more income unequal society might be fine if families are especially integrated and support one another, or high rates of charitable giving).Piketty's basic set of policy tools to prevent huge wealth and income inequality is by making finance more transparent (basically by making it clear who owns what) and instituting progressive wealth and estate taxes. These taxes would prevent the biggest fortunes from continuing to grow disproportionately faster than the economy as a whole.It's worth looking at the work of Wilkinson and Pickett in The Spirit Level also. They discuss how inequality causes poorer outcomes in all kinds of social indicators, from education, to violence and health. Here's a really good TED Talk from Richard Wilkinson that summarizes what they (and many other researchers) found:http://www.ted.com/talks/richard_wilkinson",2
4985,1403205987,"First like to thank??Also thanks to Teaching Assistant: [REDACTED]; Production Assistant:[REDACTED] ;Research Assitants: [REDACTED][REDACTED]??[REDACTED] ;??Thanks Prof [REDACTED] for an excellent course. It will be nice if in next edition to cover changes in middle east, role of international organisations like UN, world bank, IMF and its affiliates and other organisations like Green Peace, PETA ;. struggle to corner natural resources and related global tension; This course may be streched to 10-12 weeks, also have a distinction track where assignments for peer review, Assignments can be essays, local level survey with its summary ; I am sure some of these assignments will provide interesting insights to regular students at [REDACTED]",4
2259,1400058724,"hello,I just finished my week-2 quiz, I got 5.00 / 8.00does this mean I should repeat the exam again.... ?",5
2214,1400016138,"I tried to do the same, but gave me only partial view.. lol",3
2025,1399909684,Hello from [REDACTED]. I am a Management Consultant.?? ,1
3361,1401089910,"for my country, Middle class mean degree-holder, usually bachelor's level, may not have a master's, may have some spare cash for aspirational lifestyle, probably not have a car, live in 3-4 room public housing apartment, and travel overseas for holidays at least one a year.",2
633,1399318916,"Hi all, I run a freight business in [REDACTED] specializing in stevedoring, port terminal and ships agency operations.??I??completed??an MBA some 20 years ago. Before that, in undergrad, I studied politics, philosophy and economics and I remain interested in all those subjects.?? I look forward to arguing and debating stuff??with a bunch of interesting and diverse people.????????",1
744,1399337368,Hi everyoneGreat to connect on the LinkedIn group for this couse. For those who are yet to join please feel free to join at: [REDACTED]Best Regards[REDACTED],1
391,1399284712,"Hey everybody,I am [REDACTED] from [REDACTED] and this is my first course with Coursera.I'm studying bachelor in Business IT. Looking forward to share some thoughts!Feel free to connect with me on linkedin:[REDACTED]",1
267,1399263035,"This is [REDACTED] from [REDACTED]. I'm management consultant. Just want to pop in and say ""Hi"" ??:)??",1
5177,1403526437,I think that China can't survive for longtime as number one due to high poverty rate and political instability.,2
3366,1401096470,"In the first video, we can see that the US are having a huge current account deficit. In the same video we can see that oil producing countries have a current account surplus.??Thanks to the development of unconventional energy sources, the US is becoming the first oil and gas producer in the world, and in the coming years will be a net exporter of energy products. This will have a huge impact on the current account of the US, and also in the rest of the world (countries that currently produce oil have to sell it to another markets, different from the US).It seems to me that the deficit will become a surplus in the future due to this and other reasons (weak exchange rate, manufacturing coming back to the US from APAC countries, higher productivity in the US due to the use of technology, etc)What do you think???Looking forward to your posts!",2
3711,1401479385,Week 4 has been very interesting and now when reading the news is more interesting to me! It is a new world opening up to me!http://www.dw.de/ex-soviet-trio-sign-trade-bloc-deal/a-17670223,1
4654,1402888542,That was very cool to look at. ??Country like Austria definitely have an advantage due to terrain. ??I was also surprised by the number of dams in Turkey and Iran. ??I was surprised to see that the Hoover Dam was not the largest in the United States.,1
1498,1399574476,Yah I will do this every Monday for every course I take. It's easier for me being away from home a lot. And I can keep the lectures stored forever to reference. As long as solar flares or EMP's dont take out our whole grid :)I am glad other people can make use of it too :),1
3444,1401154121,"In Canada, the middle class is obviously large. I would say it includes people who have had higher education, or make over $40,000 a year. If you have spending money but are not rich, I would say you could consider yourself to be middle class. It's a very broad category.??",2
2032,1399914688,"Some of the countries that are experiencing low fertility rates are trying to come up with ways to increase their birthrates. They are mostly of the soft paternalism or ""nudge"" variety.I came across this story on some of the creative ways countries are using to boost their fertility rates.I love the ""Do it for Denmark!"" ad campaign!http://mentalfloss.com/article/33485/5-creative-ways-countries-tried-their-birth-rates ??",2
2876,1400539886,"Africa should hold to its Natural Resources at the moment.The need to solve poverty related incidents will mean chopping all forests,",2
2780,1400462859,"Also the employers should consider the change the risk-taking behavior in older employees. If I see the trend in my place. Younger people do more job hops, than the older people. This might also be because of the way the job market works!!.??",2
887,1399365951,"I think what the Prof. implied is that if we recognize that both starvation and obesity are extremely challenging problems, there is a big issue on how the food is produced and distributed, and about the food policies set up in the world. If we wanna go deeper, there are few issue here:1) dynamics of food production (from small farmers or big companies, bio vs GMO, how fertilizers are used, etc.)2) current market structure (food has still custom duties or quotas in much of the countries; those quotas are stopping food from less developed countries to reach profitable EU and US markets)3) food culture in developed countries (quality, knowledge on food production, way to eat/cook, etc.)I think is a very challenging issue to discuss, and being Italian, of course I feel quite concerned about this :)",3
271,1399263563,"1) The numerous problems faced by the world economies at the same time and how complex each of them can be be to cope with.2) Financial instability, rising inflation and widespread corruption are according to me the biggest problems faced by India.3) No, not at all. Each economy should grow steadily but it shouldn't be at such a cost that it creates problems galore and consequences that have to be borne by the future generations. Development balanced with sustainability should be the key aspect to concentrate on while mitigating the ??threats of the other problems.",2
3267,1400984487,"Yes, I think that terrorism is fruit of globalization. Considering that globalization has as one of its main features the shortening of barriers and distance, approximation between people, cultures and widespread information made available anytime, anywhere; surely terrorism has grown alongside such features, and this is simply, because globalization has provided or has been the facilitator for such widespread reach of terrorism.??If we consider the main features I have just pointed out as globalization's characteristics, we can see that there are directly related arguments to the execution of terrorists acts.??Globalization has created the possibilities of further interaction between people, building networks, has promoted clash between cultures and has informed statistics, historical patterns (in case of a terrorist act, which is the better spot to execute the act, or how many people are there usually during a specific time etc?â‚¬?), and surely, the anytime/anywhere is directly related to technology and its advances to provide the necessary components for executing terrorism.??Having all this said, yes, I do think that terrorism has been fruit of globalization. However, ??a more noticeable fruit of globalization, a more recurring manifestation. Because long ago, not only terrorism but also globalization, existed, and that is way back. It was just not as noticeable as today with fast communication, but it did happen. As globalization also goes way back to the discovering of new countries and colonization, with the British for example - since than, there was already a form of globalization, as well as the industrial revolution and so on...",2
2707,1400417904,"Hello Africa, very interest on courser.org learning, please reach at my LinkedIn.[REDACTED]",1
1155,1399442399,"Problem: There is a typo or other mistake on the page (e.g., factual error, information omitted)Problem ID: pages-mistakeURL: https://class.coursera.org/globaltrends-001/help/report/pages-mistakeBrowser:  OS: Windows 7Additional details: I recommend this reading material NIC Global Trend 2030 for the class.",5
3373,1401103487,"As UK is not a part of EZ, UK accepts currencies Pound and Euro for trading. At the time of Euro Crisis, UK was not affected and didn't put its capital to bail out Greece. Hence, UK was very happy not to be part of EZ having single currency but Germany and European Central Bank has to take all the burden.What are the benefits and drawbacks for a country not a part of EZ?",2
3879,1401717021,The super countries are immune to what wrong they can do to weaker countries. Pakistan has been branded as a country where terrorism is on the rise but the country that led to the start of this does not have its name even mentioned. Hence poor Somali does not have any connections in the world and when the fishermen stood up to defend their country they saw an opportunity to make money and this gave rise to piracy. I doubt if I would have even found this information about origin of Somali piracy had not the Professor mentioned it.,2
2296,1400090632,"As we all know oil is the'' strong'' in the world economy, it has helped many countries to improve their living conditions, but how dependent we are doing that?, Depletion Should not this subject renewables, which would be the options? and the world would enter into political, social and economic crisis?",3
1007,1399397311,"Hi. I'm [REDACTED]a, from [REDACTED]. I teach Economics and this is my first Coursera :)",1
349,1399277467,"Hi, [REDACTED],I agree with the issue you have forwarded. I have here??this link to the syllabus, which includes the questionnaire links to each week and some slides, too. Hope it will help.[REDACTED]",1
3016,1400674339,"There are some ideas to bring back the money by reducing taxes. Money owners ??must invest in some kind of bonds that are part of a huge fund dedicated to provide funds for renewing U.S infrastructure, in exchange, part of the money wouldn't pay taxes.See the link:??http://www.brookings.edu/events/2014/05/16-american-infrastructure??",2
2205,1400005946,"the problems is not always in increasing population but the problem is in values that these over populated nations have, i do believe that the world material and resources is sufficient but if it is equally distributed it is always about the values. and for countries like china over population is a positive thing that their economy is strong, why cause of the value of working, they work whatever and they produce",2
4111,1402025232,"While I abhor the unnecessary taking of lives it truly upsets me when people complain about terrorist attacking Western power but seem to ignore the fact that the acts the US commits in other countries can just as easily be considered terrorism also. And now you have a foreign policy that declares war on ""terror"" (whatever that means). This country dictates how the rest of world should live and preaches democracy and treating people equally while completely ignoring this country's violent history and ignoring the reality that the US purposely destabilizes countries and installs puppet dictators. War is a racket and there is no money in peace. The US can pretend it wants global peace but its history says otherwise.This country can and needs to do better.??",2
2701,1400415732,"Hello,??please find me here to connect on linked in , thanks a lot [REDACTED]",1
4296,1402381805,"Hi, in my opinion, globalization may escalate terrorism, but that is not the major cause of terrorism. At present, those terrorists use the advantage of globalization to do their terrorist activities, such as internet, mobile phone, technology and high-tech products, etc. The main purpose of terrorism is to struggle with the local government for their interests bascially under the political reason.??Terrorism has alreday existed??for a long time before the globalization began. But globalization is??one of the motivator escalating terrorism in a larger scale throughout the world. In the past, the local government is the major actor to crackdown ??terrorist activities in its own country. But now, international communities should join together to crackdown terrorism.",2
