id,post_time,post_text,Urgency_1_7
26561,1380655141,"Great, [REDACTED], this thread is so good
",1.0
58974,1384384273,"Morris's performance here was mind-blowing for me. ModPo has introduced me to the idea of poetry as vocal, not necessarily written, and now I'm itching to go and practice my own vocal experiments.However.I think it's really important here, in this thread, to acknowledge [REDACTED] opening remark and to allow that what one person finds ""superb"" may be another person's ""fingernails on a blackboard"". Previously, during ModPo, I have voiced a negative feeling I had towards a certain poet's work or voice, and I was immediately surrounded by anxious TAs clamouring to persuade me otherwise. I think this is actually disrespectfulÂ to the student and, in any case, truly counter-productive. As an example- a month ago I hated Gertrude Stein's repetitions with a passion. She made my neck itch. She made me want to scratch my ears off. And I'm not exaggerating. Looking back, I think that the reaction I had was good, it was in fact appropriate, it was a symptom of the fact that I was engaging fully and absolutely with the text and the poet's voice. If I had been indifferent to Stein, then it would have been a concern, but to be passionately negative is still a passionate reaction and should be accepted as such. I now list Stein is one of my favourite poets, but even if I did not, it would still be good... even great.In this particular case (Morris's work) there is an additional sensitivity, perhaps,Â because the poem speaks of / enactsÂ the deeply horrifying experiences of African Americans. But I do not think [REDACTED] was referring to that at all, I think ([REDACTED], forgive me if I'm putting words in your mouth) he was describing a spontaneous reaction to a work of art, and that's beautiful in and of itself.",2.0
798,1378599574,"My copy of Beyond Remembering is boxed up and at my new apartment so I can't faithfully reproduce my favourite Al Purdy poem, but he's likely my favourite poet so here's another of his.&nbsp; It's pretty alright.At Evergreen CemeteryThe still grey face and withered body:

without resistance winter enters in, 
as if she were a stone or fallen tree, 
her temperature the same as the landscape's â€”
How she would have complained about that, 
the indignity of finally being without heat, 
an insult from the particular god she believed in, 
and worse than the fall that killed her â€”
Now a thought flies into the cemetery
from Vancouver, another from Edmonton, 

- and fade in the January day like fireflies. 
I suppose relatives are a little slower
getting the evening meal because of that â€”
perhaps late for next day's appointments, 
the tight schedule of seconds overturned, 
everything set a little back or ahead, 
the junctures of time moving and still: 
settling finally into a new pattern, 
by which lovers, hurrying towards each other

on streetcorners, do not fail to meet â€”
Myself, having the sense of something going
on without my knowledge, changes taking place
that I should be concerned with, 
sit motionless in the black car behind the hearse, 
waiting to re-enter a different world. Al Purdy",2.0
48141,1383159303,"

    Peer review instructions: Use your peer review to comment on the ways in which your peers' essays approach this poem. Emphasize what you think the essay does well; what you find interesting or thought provoking about the essay; and what questions you find yourself asking after reading the essay.Â We have included an optional set of questions that you may use when reading your peers' essays. Use these questions
        as a general guide to your peer review: answer any or all of these questions, and of course feel free to comment on aspects of the essay not listed here. We have also recorded a video discussion of ""Why I Am Not a Painter."" If you can, watch this recording
        before you answer the optional questions; it will provide you with an example of how to close read O'Hara's poem. You can find the link to the video here.Optional considerations:
    1. Form: Does the essay explain how the poem's form expresses O'Hara's apparent preference for being a poet? (When we use the word ""how,"" we emphasize the importance of thinking about what a poem does â€“ how it uses its formal elements â€“ as much
        as we think about what it says.)
    2. Painting vs. poetry: Does the essay identify ways in which writing a poem is different from painting a painting, in O'Hara's view? Does the essay, for example, compare the poem by O'Hara called ""Oranges"" and the painting by Mike Goldberg called Sardines? How successful and/or interesting is the comparison?
    3. New York School: As an option, the essay might integrate into its discussion observations about the ""New York School"" style of I-do-this-I-do-that. Does the essay attempt to explain why the I-do-this-I-do-that style is well suited to such a large and theoretical or abstract
        discussion of differences between two arts?
    4. Meta-poetry:Â  As an option, the essay might emphasize the orientation to process in O'Hara's writing. Does the essay, for instance, see a possible irony in the sentence ""My poem / is finished and I haven't mentioned / orange yet"" or in O'Hara's quoting Mike
        Goldberg asserting that his ""painting is / finished""? What we're asking here is whether the essay addresses the ""meta-poetic"" qualities of O'Hara's poem: the poem is a poem about a painting; it is also a poem about the poet's preference for poetry.


This essay summarizes the poem rather than analyzing it.  The first stanza does what it does: so what?  Why is that important?  What does it lead you to say about the movement of the poem, the action of the poem? Similarly, the poem has so many stanza doing so many things: so what?  Is the form of the poem important to the ideas it expresses?  Your essay only goes to the surface of the poem -- it tells what happens in it, but not what it does or how it does it.

(Posted via the peer assessment system)",2.0
33759,1381342555,OK--one last point---tracking just how McKay both masters the form of the sonnet and how he subtly both employs andÂ  subverts some aspects of the traditional form is really one of the joys of this verse. I think it remains a major accomplishment.,1.0
13682,1379961721,"
Do a close reading of the poem in short essay form.
Dickinsonâ€™s poem â€œI taste a liquor never brewedâ€ is a
celebration of, even a reveling in, a state of ever increasing exhilaration that
leads to a peak experience.&nbsp; The
extended metaphor is that of inebriation.&nbsp;
The reader must figure out for himself the source of the inebriation,
which is at first presented as a puzzle: how can there be a liquor that is
never brewed? 

&nbsp;The intoxicant is described as air and dew.&nbsp; Man can not create either air or dew
but they are always present.&nbsp; We
are led to think of the natural world as the stimulant, with some support from
additional nature imagery later in the poem: bee, foxglove, butterfly,
sun.&nbsp; Air and dew (water) are the
stuff of life. The mere acts of breathing and drinking, of just living, is a state of wonder that is being compared to a chemical high.

&nbsp;

Dickinsonâ€™s poem would lack interest had it merely listed
some nature imagery.&nbsp; But there is a
progression of steadily building intensity in the poem. Each stanza, clearly
marked by line division and a traditional (as in ""Mary Had a Little Lamb"" &nbsp;ABCB rhyme pattern, brings the reader one more
step along the path of the poet.&nbsp;
The first stanza begins with just a taste, by the second the poet has
reached inebriation and debauch. By the third stanza she has gone beyond the
lower pleasures of animals into a distinctly human and possibly dangerous
realm. The stanzas also progress through the year. The second
stanza is summer, and the third is the time that butterflies leave, the autumn.
With this in mind, we can look back to stanza 1 and see the spring showers in
the pearly clouds.&nbsp;

&nbsp;

We may think we are prepared for the final stanza, which logically should represent winter and death.&nbsp; The
poem does connect with winter, via the snowy hats, but there is a surprise in
store. The poet does not die; the poet moves beyond death. She sees the&nbsp; saints and seraphs and even passes them
by.&nbsp; She is no drunkard who leans
on a lamppost on the way down. She reaches the source of all life, the Sun, and actually touches it.&nbsp; The use of the final dash is
brilliant.&nbsp; It sets the Sun apart
from the rest of the poem as a self-sufficient entity that exists on its own without verb. We might even take a
Christian reading of the poem and see it as a portrayal of the trajectory of
life leading to the Son of God. The fever pitch is communicated to the reader, who shares the poet's culminating peak experience.

(Posted via the peer assessment system)",2.0
8668,1379432448,"Just a comment about how much more intertwined ""Grandfather advisedÂ me"" may be with reality than came out in the discussion video.Â  Lorine Niedecker worked as a secretary in S. Wisconsin for a magazine called ""Hoard's Dairyman"", at a time when dozens of condenseries (which produce condensed milk) were closing because of newer technology.Â  I don't disagree with what has been said in the video, but wonder if there wasn't a bit of double entendre in the poem.",3.0
44393,1382975204,"

    Peer review instructions: Use your peer review to comment on the ways in which your peers' essays approach this poem. Emphasize what you think the essay does well; what you find interesting or thought provoking about the essay; and what questions you find yourself asking after reading the essay.Â We have included an optional set of questions that you may use when reading your peers' essays. Use these questions
        as a general guide to your peer review: answer any or all of these questions, and of course feel free to comment on aspects of the essay not listed here. We have also recorded a video discussion of ""Why I Am Not a Painter."" If you can, watch this recording
        before you answer the optional questions; it will provide you with an example of how to close read O'Hara's poem. You can find the link to the video here.Optional considerations:
    1. Form: Does the essay explain how the poem's form expresses O'Hara's apparent preference for being a poet? (When we use the word ""how,"" we emphasize the importance of thinking about what a poem does â€“ how it uses its formal elements â€“ as much
        as we think about what it says.)
    2. Painting vs. poetry: Does the essay identify ways in which writing a poem is different from painting a painting, in O'Hara's view? Does the essay, for example, compare the poem by O'Hara called ""Oranges"" and the painting by Mike Goldberg called Sardines? How successful and/or interesting is the comparison?
    3. New York School: As an option, the essay might integrate into its discussion observations about the ""New York School"" style of I-do-this-I-do-that. Does the essay attempt to explain why the I-do-this-I-do-that style is well suited to such a large and theoretical or abstract
        discussion of differences between two arts?
    4. Meta-poetry:Â  As an option, the essay might emphasize the orientation to process in O'Hara's writing. Does the essay, for instance, see a possible irony in the sentence ""My poem / is finished and I haven't mentioned / orange yet"" or in O'Hara's quoting Mike
        Goldberg asserting that his ""painting is / finished""? What we're asking here is whether the essay addresses the ""meta-poetic"" qualities of O'Hara's poem: the poem is a poem about a painting; it is also a poem about the poet's preference for poetry.


good.

(Posted via the peer assessment system)",2.0
20631,1380199108,"
Peer review instructions: use your peer review to assess and comment on your peers' essays. Emphasize what you think the essay does well; what you find interesting or thought provoking about the essay; and what questions you find yourself asking after reading the essay. We have listed four questions below that can be used as a general guide to your peer review: answer any or all of these questions, and of course feel free to comment on aspects of the essay not listed here. We have also recorded an audio-only discussion of ""I taste a liquor never brewed."" Listen to this recording before you answer the rubric questions: it will provide you with an example of how to close read Dickinson's poem. You can find the link to the recording here.
1.&nbsp;Does the essay do more than paraphrase the poem? In other words, does the essay quote the words used by the poet? We say in ModPo that ""how a poem says what it says is more important than what it says."" Does the essay convey the ""how"" of the poem as much as - or more than - the ""what""? How effectively, significantly and/or interestingly does the essay do this?
2.&nbsp;Does the essay say something about how Dickinson's dashes works? How effectively, significantly and/or interestingly does the essay deal with the dashes?
3. Does the essay account in some way for the stanzaic form of the poem? How effectively, significantly and/or interestingly does the essay discuss how the poem's form interacts with its content? Does the essay, for example, describe the way in which the speaker's figurative drunkenness makes the poem itself reel or lurch forward or wander or wobble?
4. Does the essay in some way follow the poem's shifts in metaphor or conceit? Does it somehow explain why Dickinson decides not to stick with the metaphor of the tavern or pub at the beginning of the poem? Does the essay account for the way the poem's language progresses/moves/shifts from beginning to end? To the extent that the essay deals with these matters, how effectively, significantly and/or interestingly does it do so?&nbsp;

The essay's author states that ""this is the hardest analysis we have been given, of Dickinsonâ€™s poems.  This is because I do not see as many multiple readings as in some of the others."" This goes to show a lack of understanding of ED poetry and the artistic period in which the poem was writte. The essay continues in a dubvitative way, giving 2 faced opinions. This does'nt answer the recuired 4 points and comprehension.

(Posted via the peer assessment system)",2.0
23921,1380405493,"
Peer review instructions: use your peer review to assess and comment on your peers' essays. Emphasize what you think the essay does well; what you find interesting or thought provoking about the essay; and what questions you find yourself asking after reading the essay. We have listed four questions below that can be used as a general guide to your peer review: answer any or all of these questions, and of course feel free to comment on aspects of the essay not listed here. We have also recorded an audio-only discussion of ""I taste a liquor never brewed."" Listen to this recording before you answer the rubric questions: it will provide you with an example of how to close read Dickinson's poem. You can find the link to the recording here.
1.Â Does the essay do more than paraphrase the poem? In other words, does the essay quote the words used by the poet? We say in ModPo that ""how a poem says what it says is more important than what it says."" Does the essay convey the ""how"" of the poem as much as - or more than - the ""what""? How effectively, significantly and/or interestingly does the essay do this?
2.Â Does the essay say something about how Dickinson's dashes works? How effectively, significantly and/or interestingly does the essay deal with the dashes?
3. Does the essay account in some way for the stanzaic form of the poem? How effectively, significantly and/or interestingly does the essay discuss how the poem's form interacts with its content? Does the essay, for example, describe the way in which the speaker's figurative drunkenness makes the poem itself reel or lurch forward or wander or wobble?
4. Does the essay in some way follow the poem's shifts in metaphor or conceit? Does it somehow explain why Dickinson decides not to stick with the metaphor of the tavern or pub at the beginning of the poem? Does the essay account for the way the poem's language progresses/moves/shifts from beginning to end? To the extent that the essay deals with these matters, how effectively, significantly and/or interestingly does it do so?Â 
1. The student does quote Dickinson and explains thoroughly the quotes he/she choose. He/she effectively coveys the how of the poem by explaining different possibilities to what the poem is about, he/she gives their stand on what Dickinson could possibly mean when she wrote this essay. The essay does this by making references to words that are in the poem, for example ""(We can assume by the reference to the Rhine, a river that runs through much of Europe, including France, that she means to include wine, although wine is fermented, not brewed.)"" The essay gives a convincing explanation and makes you understand what the author was really trying to convey through her poem.
2. He/she does address the punctuation of the poem although there is just one sentence pertaining to the punctuation, it is sufficient enough for us to understand why the poem is punctuated like that.
3. Yes the author of essay does address the structure of the poem, in each paragraph he/she addresses a specific stanza. The essay speaks of the author's drunkenness and the possible explanations of why she might be drunk on the poetry.
4. The essay doesn't address why the author decides not to stick to the metaphor of the tavern, the essay does address the way the language of the poem changes throughout the poem and how by the progress of the poem the author seems to get more sophisticated, she first started with beer and she continues to fine wine. The essay addresses all the points correctly and analyzes most of the poem, and provides with explanations.

(Posted via the peer assessment system)",2.0
