id,post_time,post_text,Urgency_1_7
1232,1367354914,"Hi [REDACTED]. Yes, thanks for all the information you posted. I'm looking forward to watching the utube video. This course should tie in nicely with many of the things we discussed over at the science fiction course. I signed up for this class at the last minute from a mention about the course from [REDACTED]. Nice to see some familiar ""voices"" here. Makes me feel right at home.",1
4753,1371913875,Please ignore the original post as [REDACTED] has responded and my pdf can be read at her end. Thanks for reading :),1
3192,1369105987,"Good point [REDACTED]. &nbsp;I thought the same, then remembered that my mother once told us if we had trouble remembering lists to put them to music and 'sing' them instead. &nbsp;I haven't thought about that in years, but it really worked. &nbsp;Thanks for the Major General link too - always makes me smile.",1
4884,1372160055,"To me it sounds more like a mistake. This person has probably followed [REDACTED]'s procedure and then, by mistake, posted the Italian file. Good that you have posted it, perhaps that person can get in touch with you and send you an English version.",3
4880,1372154926,"I thought people might be interested in this article from June this year.&nbsp;Italian archaeologists claim to have found a stone enclosure which once protected the legendary ""Golden Bough"".",2
286,1366687408,"My name's [REDACTED], from [REDACTED]. &nbsp;I've always felt like I didn't know as much about ancient Greek myths as I ought to... so here goes!",1
3311,1369177062,"[REDACTED],How far are you into Hesiod?",1
1715,1367810772,I trust Prof. [REDACTED] knowledge on the topic.,1
3699,1369661417,Sounds painful LOL. Thank you for the link [REDACTED] xx,1
2927,1368974490,"Exactly [REDACTED]. To get the certificate you only need to write something to take part and then mark five student essays. I think the exercise is very much in the writing of a short essay and learning to be succinct in a short word count and then in the marking of other peoples essays we each have to read five essays which of course assists our learning, Whatever our grading for our work makes no difference it is the knowledge that we gain from the exercise that is important. 2,500 words is not going to take as long as 5000!!!",3
1755,1367863493,"Thanks [REDACTED]. &nbsp;If it wasn't for the fact that I can't learn bupkiss unless I write it down myself, I'd sit back and enjoy Dr. [REDACTED]'s lectures and let you take notes for me.Since I'm often accused of seeing things as black or white, you'd think I could explain Structuralism (3.6) for it's core anchoring binary pair. &nbsp;In fact, I thought I had the concept in Xenia (hospitable vs non-hospitable). &nbsp;Then Dr. [REDACTED] said it would break down further into food/not food (since that's part of Xenia, too). &nbsp;Even further is the food on the table the servant set next to your chair versus food handed to you by the host, torn from the best cut by his own hands. &nbsp;I'm not sure this would cause the anxiety expected in the biological response to the binary, but it would certainly cause elation to be so honored. &nbsp;Hopefully, colleagues will tell me if I'm off-base here. &nbsp;It just seems to me that Structuralism may be a form of OCD trying to get to the smallest detail of binary opposites. &nbsp;&nbsp;",2
2604,1368740633,"I submitted my essay last week. I wanted to check something that I had written, but now can't see it. It is telling me that I still have time to submit and doesn't show me any record of my submission or my saved draft. Is there any way to see if my essay has been submitted or if there was some sort of technical &nbsp;error?",6
