id,post_time,post_text,Urgency_1_7
786,1427619030,"Please help! My method was basically the probability tree method, like the one Anonymous posted above. (I used 5/8 and 3/8)I added the two probabilities together: (Pick die A, Red, Red, Red) + (Pick die B, Red, Red, Red).And I got a wrong answer. I don't understand. Why is this? Please help. Thank you!!!",5
53,1425235677,"frankly for me both seems to random.But if i have to choose , I would first one.As it has more bumps than the other one. More random outcome.",2
464,1426440997,"Hi, [REDACTED] here, a computer engineer by profession. Probability has always fascinated me and I have been moderately good at it. Looking forward to learning it in depth.Finished first week what an eloquent and vibrant professor we have!",1
780,1427604267,"Yes, version 1 is the case!Please also consult: https://class.coursera.org/probability-001/forum/thread?thread_id=200",2
148,1425383757,"Video 2.1d started playing for me, but then showed the erratic stopping behaviour from minute 1:10. It seems to buffer alright though, I can see the blue bar progressing way beyond where the breaks happen. My internet is not the fastest, but around 5bits/second, which works fine for all other videos I've encountered so far.",5
286,1425888476,Does anyone else think that the answer of question 4 is not the one it has to be?,4
646,1427042687,"It should actually be utile erit scribi Êƒ pro omnia, that literally means ""It will be useful that Êƒ is written instead of everything/the total(I think sum can fit here, but lacking context I'm not sure).Scribi is the passive infinite, while scribit would have been the third singular person of the future tense.",2
45,1425217612,"Not sure if this is what you're asking, but in section 10.2 of the course (according to the detailed syllabus atÂ http://www.seas.upenn.edu/~probabil/Syllabus.pdf) we will be covering the Poisson distribution.[REDACTED]",2
1189,1429448382,You really should watch dangerous bends lecture 11.2c. Go through the steps with this question in mind and it will make sense. ,3
1415,1430318983,"Sorry if I inadvertently added confusion by introducing A,B notation. I was just trying to show that the sample space for the uniform distribution method could not be construed as a some kind of reduction from the Bernoulli trial binomial distribution method. There is also a third distribution approach could be used. This could be C(4 choose 2) which could be implemented by say putting 2 white marbles (for Jane) and two black marbles (for John) in a blind bag. Jane draws one and then John draws another without replacement. No matter who drew what, the colors of the drawn marbles determine who gets what. Now are probabilities become:P (2 for John or Jane = 1/6) P (1 for each = 2/3)So I guess the answer for the original subject of this thread: ""Binomial method might not be applicable"" - Depends on the chance driver of the experiment.",2
652,1427067970,"I would like to add to this very worthy discussion. I have a degree in Mathematics and studied mathematical probability, but have never seen this subject taught so clearly at this level as Professor [REDACTED]'s lectures. Â I have found the subject of probability to be unlike any other discipline in the mathematical sciences and can lead one astray very quickly on even seemingly very simple problems. Â This will be a difficult subject to master by self study for mere mortals especially without lots of practice (and solutions to check against). Â On another note, I do hope that Professor [REDACTED]'s course here gets very wide publicity as I definitely believe it deserves to be seen and studied thoroughly by anyone interested in a serious (or not so serious) study of probability. Â I have been waiting for a good course on probability to appear on Coursera and finally we have one. Â Thoroughly enjoying the format of these lectures in both content and style. Many thanks.I have already learned a lot from these lectures and cleared quite a few areas of uncertainty in my mind on some very fundamental questions. Â In my experience, most University professors seem to sidestep the kind of fundamental areas that Professor [REDACTED] covers here which is a great shame. I'm going to order a copy of Professor [REDACTED]'s book as these lectures have intrigued me into seeing his viewpoint of this subject even further.",2
606,1426869880,"In video 8.1g, the following is given as the chain rule formula.$$P(A_1\cap A_2\cap A_3 ...\cap A_n =\prod_{j=1}^n P(A_j\vert A_{j+1}\cap ...\cap A_n)$$Shouldn't the summation variable only run through n-1?Also how does this generate the final $$P(A_n)$$?",4
1146,1429182579,"[REDACTED], for one if you are getting 1 as E[X], than most likely your mass function is not normalised.Remember the normalisation axiomÂ $$1 = \sum p(X=i)$$While the expected value is result of $$E[X] = \sum i*p(X=i)$$Since i goes to infinity, it is not possible to get E[X] = 1 as long as probabilities are non-zero.In that case my advice would be to check your Q7.I have to say I fought hard with Q6-8. It took me literally a minute to come up with answers for Q6-8 and few more hours when I didn't believe the results were correct and tried to find an error, because it would be too easy :-)",3
118,1425340938,"It's funny how your head works on problems when you are trying to do something else.The first sequence 1234 in a sequence of length n can start in any of n-3 locations (it can't start in the last three places, the other n-4 positions in the sequence of length n can be filled arbitrarily.Â  There are (n-3) times 4^(n -4) sequences of length n which have at least one sequence 1234.Dividing by the 4^n possible sequence, we get a probability of (n-3)/4^4 = (n-3)/256. Â Â  I swear, I have to get back to what I was doing, but I'm pretty sure this is it.",2
69,1425266069,"Hi there. Â Usually coursera courses have a link on the left with the videos as they become available, each with a download button. Â  Users like me can't Â watch the streamed versions due to Internet connection problems. Â If I can't Â download the lectures then I can't Â watch them ... meaning I can't do the course! Help!",5
228,1425616796,"I highly recommend http://www.amazon.com/The-Probability-Tutoring-Book-Scientists/dp/0780310519by Carol Ash, UIUC.Â  Solutions included.",2
775,1427571605,"I struggled with this problem for a long (long,Â long) Â time before finallyÂ getting it right,Â and ended up using a peculiar approach. I closed my eyes and visualized the process of actuallyÂ taking aÂ sequentialÂ strollÂ down aÂ long lineÂ of random tosses from beginning to end and along the way counting the number of times each event occurred first. It's weird but it worked. Â Start byÂ looking at the first 4 tosses, then the second 4 tosses, and so on until you encounter one of the two events. When you encounter one of the events, record it as the first to occur. Then, and this is the key point from this perspective, walk right past the three H's in positions 2,3, and 4 of the event (whichever one it may be)Â and begin again.Â The need toÂ ignore those 3 H's when going forward after the event means that each occurrence of either event affects the number of times HHHHÂ can occur first.",2
455,1426408445,"Hello, I am [REDACTED]Â This is my first Coursera course and I really love it so far. I plan to major in Applied Statistics, so this course is actually the preparation for my future studies. Hope every one can also enjoy it and discuss a lot!! :-)",1
866,1427979453,I want help with questions. Where should I find reference to Â contemplate and fathom the relevance and irrevance among the options.Â Can you describe relationship between conditional probability of disjoint events,5
447,1426367121,"I found the explanation of the coin toss problem very confusing.My approach to the problem is the following:Â  Â  there is a .5 probability that the first two coin tosses would both be heads or both be tailsÂ  Â  of the others, there is a .5 probability that the third coin toss will be the same as the secondÂ  Â  thus for each series of coin tosses, there is a .75 probability that 2 successive tosses will showÂ  Â  Â  the same face in either 2 or 3 tosses.Â  Â  the remaining series will take 4 or more tossesÂ  Â  there is a .25 probability that 4 or more tosses willÂ occur before 2 successive tosses will show the same face.Does this make sense?",4
518,1426564338,Ah! Â I'd forgotten that it's not yet been 24 hours since the submission deadline. Â There is a provision for a one day delay in submission (with a penalty in points). Â The solutions become available at midnight Monday (11:59 pm UTC -04:00 if I've set it correctly) to permit stragglers to get in. Â So you should be able to see it shortly. Â Access is through each individual homework.,3
726,1427289064,Where can I find information about which videos to watch for homework assigments?Â ,5
411,1426243961,"It may not affect the essence of the problem, but how can a die have eight faces?",3
