id,post_time,post_text,Urgency_1_7
1950,1381853264,Perhaps this course on infectious diseases would be of interest to some people on here:https://class.coursera.org/epidemics-001/classIt just started today :),2
2304,1383280434,"The reason religious exemptions are problematic is not because religious predated vaccines. Judaism, Christianity and Islam (in chronological order) predated cars, the internet, modern banking, and TV and they all say things about each of those. It's because most religions, as interpreted according to the canons of interpretation, support vaccines. Here are some links:Judaism:http://new.ohr.edu/5503/print

















http://www.jewishvaluesonline.org/566???Islam:http://islamicarticles.wordpress.com/medicine??
















http://www.comminit.com/?q=polio/node/303223.
http://www.onislam.net/english/ask-the-scholar/fiqh/451044-vaccines-and-the-dangerous-ingredients-therein.html.???http://www.vaccinesafety.edu/Porcine-vaccineapproval.htm?? ?Christianity:http://www.ncbcenter.org/page.aspx?pid=251?http://www.ncbcenter.org/Document.Doc?id=7??

















http://www.elca.org/Who-We-Are/History/ELCA-Archives/Archival-Documents/Predecessor-Body-Statements/Lutheran-Church-in-America/Death-and-Dying.aspx? ??http://www.lds.org/liahona/1978/07/immunize-children-leaders-urge?lang=eng.???And so forth.?? ?",2
1382,1379698285,"[REDACTED], thank you soooo much!
",1
1383,1379698379,"[REDACTED], thank you sooo much!
",1
815,1378600900,"Hi [REDACTED]],
First of all, I have never said that you have to treat your patients or I treat my patients exclusively with homotoxicologic medicine... Why? Because I don&#39;t think like that!
Homotoxicology is a complementary therapy. I don&#39;t use it alone.
For example Traumeel, this is the medication that has deeper studies, Traumeel is an inflammation  regulatory medication, it makes the effect and NSAID, this medication is used by sport teams like Real Madrid, Bayern Munich, Chelsea, etc.
Remember that the water we use in our clinics or the hospital is Sterile! It won&#39;t have faeces, or any other thing!? Or do you inject water from the faucet!? I&#39;m sure you don&#39;t!
I&#39;m not defending the pharmaceutical Heel, but I think like all the other pharmaceuticals, Heel also have quality controls.
Believe me, I understand your scepticism, you are not the only one with these questions.
Of all the medicine they have, maybe 5-10% is diluted above the number of Avogadro, and not all the components.
I invite you to study a little bit of this topic, and if you want try it. With yourself if you want, so you can prove that am not inventing, dreaming or lying!
[REDACTED].
",3
1274,1379370783,"Hi!...Well i'm very allergic person. And my MD suggest me a vaccine. I'm not sure about the efficiency and effectiveness and the most important thing the adverse effects.&nbsp;So what do you think, i took the vaccines to improve my health?",3
1352,1379587124,"Dear All, Please let me know the how to improve the Drug Development of Mailarial Vaccine &amp; On what basis we will conduct the clinical trails for Vaccines.",4
1938,1381822531,"[REDACTED], it may be to do with finance. The UK is in a similar position. Healthy adults are less likely to suffer complications from flu than those in high risk groups so it is the latter groups that are given the vaccine. Flu vaccine is freely available for those in high risk groups, but there isn't the money or resouces to provide it for everyone.http://www.nhs.uk/Conditions/vaccinations/Pages/flu-vaccine-questions-answers.aspx#anyoneelseI had my flu vaccine last week, but it was given in my local supermarket and I paid for it privately.",2
700,1378453867,"I am [REDACTED]from [REDACTED] and i am a Md specialized in Preventive Medicine and Public Health. I am the responsible of an international vaccination center. I love this topic. I decide the vaccines that a traveller should get to visit other countries.I work in a acute hospital too, chosing the vaccines the patients should get before, during or after their admitance.",2
185,1378229150,"Hi. My name is [REDACTED]] and I'm in [REDACTED]; I am a radiotherapist by trade but now work&nbsp;as a&nbsp;university lecturer,&nbsp;training the next generation of health professionals.&nbsp; While&nbsp;I have covered bits of immunolgy in both my BSc and MSc, it&nbsp;always had an oncology slant due to my job/nature of the&nbsp;qualifications concerned&nbsp;and so&nbsp;I would like to fill in some gaps - especially as&nbsp;vaccination seems to be becoming such a contenious issue, despite the science behind it.",2
